Business Name,Phone,City,State,Niche,Rating,Reviews,Website,Address,Pain Score,Pain Evidence,Source,Verified,Hours
Plumb Tite Plumbing & Drains,"
(513) 338-8483",Cincinnati,OH,plumbing,4.8,865,"
plumbtite.com","8442 Vine St, Cincinnati, OH 45216, USA",3,Closes at 5:00 PM,after_hours,YES,
Nixco Plumbing Inc.,"
(513) 445-6600",Cincinnati,OH,plumbing,4.8,2178,"
nixcoplumbing.com","4281 US-42, Mason, OH 45040, USA",3,Closes at 5:00 PM,after_hours,YES,
Advantage Roofing,"
(513) 467-6631",Cincinnati,OH,roofing,5.0,295,"
goroof1.com","5706 Carthage Ave, Cincinnati, OH 45212, USA",3,Closes at 5:00 PM,after_hours,YES,
Columbus Roofing Company,"
(614) 756-2335",Columbus,OH,roofing,4.9,262,"
columbusroofingco.com","5131 Post Rd #355, Dublin, OH 43017, USA",3,Closes at 5:00 PM,after_hours,YES,
Pioneer Electric Company,"
(615) 975-8010",Nashville,TN,electrical,5.0,171,"
pioneerelectriccompany.com","4216 Long Hollow Pike, Goodlettsville, TN 37072, USA",3,Closes at 5:00 PM,after_hours,YES,
"AB Electrical, Inc.","
(816) 350-0062",Kansas,MO,electrical,4.8,16,"
ab-elec.com","3340 The Paseo, Kansas City, MO 64109, USA",3,Closed weekends | Only 16 reviews,after_hours,YES,
Barth Electric Co Inc,"
(317) 924-6226",Indianapolis,IN,electrical contractor,3.7,21,"
barthelectric.com","1934 N Illinois St, Indianapolis, IN 46202, USA",2,Rating: 3.7,pain_signal,YES,
Indy Electric,"
(317) 746-6752",Indianapolis,IN,electrical contractor,5.0,25,,"4320 W 59th St #1204, Indianapolis, IN 46254, USA",2,No website,pain_signal,YES,
Wiggins Brothers Electricians Co,"
(317) 751-9551",Indianapolis,IN,electrical contractor,4.7,79,,"8260 Naab Rd #4240, Indianapolis, IN 46260, USA",2,No website,pain_signal,YES,
Adept Electric Birmingham Co,"
(659) 207-8256",Birmingham,AL,electrical contractor,5.0,27,,"4117 2nd Ave S, Birmingham, AL 35222, USA",2,No website,pain_signal,YES,
Tucson Fast House Electric,"
(520) 523-2894",Tucson,AZ,electrical contractor,4.8,137,,"7018 E Golf Links Rd #5470, Tucson, AZ 85730, USA",2,No website,pain_signal,YES,
Gideon Service Company,"
(480) 916-0842",Phoenix,AZ,electrical,5.0,183,"
gideonservicecompany.com","2942 N 24th St #201, Phoenix, AZ 85016, USA",2,Closed weekends,after_hours,YES,
Buckeye Electric of Upper Arlington,"
(614) 664-8800",Columbus,OH,electrical,4.6,330,"
614electrician.com","470 W Broad St UNIT 707, Columbus, OH 43215, USA",2,Closed weekends,after_hours,YES,
Able Roofing,"
(614) 444-7663",Columbus,OH,roofing,4.5,1160,"
ableroof.com","4777 Westerville Rd, Columbus, OH 43231, USA",2,Closed weekends,after_hours,YES,
Robinson Electric Company,"
(404) 618-9529",Atlanta,GA,electrical,4.9,294,"
robinsonelectricco.com","2654 Wood Gate Way SW, Snellville, GA 30078, USA",2,Closed weekends,after_hours,YES,
Nashville Electric Service,"
(615) 736-6900",Nashville,TN,electrical,2.0,1004,"
nespower.com","1214 Church St #100, Nashville, TN 37246, USA",2,Closed weekends,after_hours,YES,
"Empower Electric, LLC","
(615) 889-1434",Nashville,TN,electrical,4.5,33,"
empower-electric.com","321 Homestead Rd, Nashville, TN 37207, USA",2,Closed weekends,after_hours,YES,
Table Mountain Electric Inc,"
(720) 742-4233",Denver,CO,electrical,4.9,417,"
tablemountainelectric.com","5160 Parfet St Unit B5, Wheat Ridge, CO 80033, USA",2,Closed weekends,after_hours,YES,
"Interstate Roofing, Inc.","
(303) 763-9114",Denver,CO,roofing,4.7,955,"
interstateroof.com","1000 W 47th Ave, Denver, CO 80211, USA",2,Closed weekends,after_hours,YES,
