#,Score,Business Name,Phone,Phone (formatted),City,State,TZ,Niche,Rating,Reviews,Source,Verification,Original Phone
33,76,Premier Cooling LLC,+19542579998,(954) 257-9998,Fort Lauderdale,FL,ET,HVAC,4.9,153,Google Places API,GBP-verified,
34,76,N & Q Electric & Plumbing Miami,+13056025615,(305) 602-5615,Miami,FL,ET,Plumbing,4.9,39,Google Places API,GBP-verified,
35,76,Fort Lauderdale Plumbing Co,+19547549578,(954) 754-9578,Fort Lauderdale,FL,ET,Plumbing,5,32,Google Places API,GBP-verified,
36,76,I am a plumber & remodeler llc,+19549881251,(954) 988-1251,Fort Lauderdale,FL,ET,Plumbing,5,142,Google Places API,GBP-verified,
37,76,Expert Plumber Fort Lauderdale,+19546205778,(954) 620-5778,Fort Lauderdale,FL,ET,Plumbing,5,37,Google Places API,GBP-verified,
38,76,Reliant Plumbing Ft Lauderdale,+17543158595,(754) 315-8595,Fort Lauderdale,FL,ET,Plumbing,5,26,Google Places API,GBP-verified,
39,76,Dallas Heating and Air Conditioning,+19724230012,(972) 423-0012,Dallas,TX,CT,HVAC,4.8,215,Google Places API,GBP-verified,
40,76,Unlimited Air Conditioning and Heating,+19459987066,(945) 998-7066,Dallas,TX,CT,HVAC,4.8,241,Google Places API,GBP-verified,
41,76,Aire Serv of Dallas,+12148387191,(214) 838-7191,Dallas,TX,CT,HVAC,4.8,248,Google Places API,GBP-verified,
42,76,Texas Discount Air,+19725236625,(972) 523-6625,Fort Worth,TX,CT,HVAC,4.8,216,Google Places API,GBP-corrected,+18178745513
43,76,Platinum Services Plumbing,+14802469330,(480) 246-9330,Scottsdale,AZ,MST,Plumbing,5,101,Google Places API,GBP-verified,
44,75,Elite AC Heating Repair Miami,+13052398487,(305) 239-8487,Miami,FL,ET,HVAC,5,13,Google Places API,GBP-verified,
45,75,Maintenance Unlimited Heating & Cooling,+14044542686,(404) 454-2686,College Park,GA,ET,HVAC,4.9,90,Google Places API,GBP-verified,
46,75,Phoenix Roofing,+16024970154,(602) 497-0154,Phoenix,AZ,MST,Roofing,4.9,28,Google Places API,GBP-corrected,+14804875233
47,75,Reyes Roofing LLC,+14808283040,(480) 828-3040,Phoenix,AZ,MST,Roofing,4.9,128,Google Places API,GBP-verified,
48,74,Abraham AC & Heating Services,+19544336504,(954) 433-6504,Oakland Park,FL,ET,HVAC,4.7,607,Google Places API,GBP-verified,
49,74,Empire Plumbing,+13055317017,(305) 531-7017,Miami Beach,FL,ET,Plumbing,4.6,296,Google Places API,GBP-verified,
50,74,Diamond Plumbing,+17865656067,(786) 565-6067,Miami,FL,ET,Plumbing,4.8,272,Google Places API,GBP-verified,
51,74,"Mainline Plumbing, AC & Electric Repair",+19542660466,(954) 266-0466,Fort Lauderdale,FL,ET,Plumbing,4.7,190,Google Places API,GBP-verified,
52,74,FitzGerald and Sons Plumbing Company,+17707668185,(770) 766-8185,Peachtree City,GA,ET,Plumbing,4.4,191,Google Places API,GBP-verified,
53,74,Metro Air Conditioning Heating & Services,+12143047658,(214) 304-7658,Dallas,TX,CT,HVAC,4.8,334,Google Places API,GBP-verified,
54,74,Jake the Plumbing Pro,+12147518381,(214) 751-8381,Dallas,TX,CT,Plumbing,4.8,171,Google Places API,GBP-verified,
55,74,Reliant Plumbing - Dallas,+12145500028,(214) 550-0028,Dallas,TX,CT,Plumbing,4.5,233,Google Places API,GBP-verified,
56,74,Supreme Comfort LLC,+16232942831,(623) 294-2831,Phoenix,AZ,MST,HVAC,4.9,165,Google Places API,GBP-verified,
57,74,All Season Plumbing And Air,+16233048128,(623) 304-8128,Scottsdale,AZ,MST,Plumbing,4.8,232,Google Places API,GBP-verified,
58,74,And Services,+18134454818,(813) 445-4818,Tampa,FL,ET,HVAC,4.6,10536,Google Places API,GBP-verified,
59,74,ACS Home Services- Tampa Air Conditioning Repair,+18137031042,(813) 703-1042,Tampa,FL,ET,HVAC,4.7,2793,Google Places API,GBP-verified,
60,74,Fairway Heating & Cooling LLC,+18134439439,(813) 443-9439,Tampa,FL,ET,HVAC,4.8,1006,Google Places API,GBP-verified,
61,74,Tampa AC Services Inc,+18135193277,(813) 519-3277,Wesley Chapel,FL,ET,HVAC,5,179,Google Places API,GBP-verified,
62,74,Mighty Plumbing Heating Air and Electric LLC.,+17207820679,(720) 782-0679,Denver,CO,MT,HVAC,4.8,4017,Google Places API,GBP-verified,
63,74,"Custom Heating, Plumbing & Air Conditioning Services",+13033411900,(303) 341-1900,Aurora,CO,MT,HVAC,4.9,229,Google Places API,GBP-verified,
64,73,Service Air Conditioning Miami Beach,+16452028087,(645) 202-8087,Miami Beach,FL,ET,HVAC,5,16,Google Places API,GBP-verified,
65,73,AC Repair Miami Beach Pros,+17864811049,(786) 481-1049,Miami Beach,FL,ET,HVAC,5,10,Google Places API,GBP-verified,
66,73,Miami Beach HVAC,+19546745108,(954) 674-5108,Miami Beach,FL,ET,HVAC,5,19,Google Places API,GBP-verified,
67,73,One Way Air,+19542992875,(954) 299-2875,Fort Lauderdale,FL,ET,HVAC,5,18,Google Places API,GBP-verified,
68,73,Miami 305 Plumbing,+13058333404,(305) 833-3404,Miami,FL,ET,Plumbing,5,137,Google Places API,GBP-verified,
69,73,Miami Dade Plumbing,+17867563185,(786) 756-3185,Miami,FL,ET,Plumbing,4.9,148,Google Places API,GBP-verified,
70,73,Oasis Plumbing,+13058344321,(305) 834-4321,Miami,FL,ET,Plumbing,5,113,Google Places API,GBP-corrected,+13059008224
71,73,Miami Beach Super Plumber,+13057967752,(305) 796-7752,Miami Beach,FL,ET,Plumbing,5,109,Google Places API,GBP-verified,
72,73,Stars and Pipes Plumbing Atlanta,+17703987827,(770) 398-7827,Lilburn,GA,ET,Plumbing,5,147,Google Places API,GBP-verified,
73,73,Blue Moon Plumbing,+14693283243,(469) 328-3243,Dallas,TX,CT,Plumbing,5,120,Google Places API,GBP-verified,
74,73,Serenity Plumbing,+14807769039,(480) 776-9039,Scottsdale,AZ,MST,Plumbing,5,60,Google Places API,GBP-verified,
75,73,Scott Roofing Company,+16024427663,(602) 442-7663,Phoenix,AZ,MST,Roofing,4.7,246,Google Places API,GBP-verified,
76,73,All Hours Plumber,+18136866349,(813) 686-6349,Tampa,FL,ET,Plumbing,5,147,Google Places API,GBP-corrected,+18136090037
77,73,Premier Heating and Air,+17209542224,(720) 954-2224,Greenwood Village,CO,MT,HVAC,4.7,1492,Google Places API,GBP-verified,
78,72,"Douglas Orr Plumbing, Inc.",+13052406731,(305) 240-6731,Miami Springs,FL,ET,Plumbing,4.6,733,Google Places API,GBP-verified,
79,72,A-Y Plumbing Services,+18887667771,(888) 766-7771,Fort Lauderdale,FL,ET,Plumbing,4.8,304,Google Places API,GBP-verified,
80,72,Rose Plumbing Services Inc,+19545566765,(954) 556-6765,Fort Lauderdale,FL,ET,Plumbing,5,300,Google Places API,GBP-verified,
81,72,"Tribeca Plumbing, Inc.",+12144025454,(214) 402-5454,Dallas,TX,CT,Plumbing,4.8,412,Google Places API,GBP-verified,
82,72,Merit Plumbing Services,+16235266511,(623) 526-6511,Scottsdale,AZ,MST,Plumbing,4.9,254,Google Places API,GBP-verified,
83,72,Arizona Roofing and Restoration,+14807718876,(480) 771-8876,Phoenix,AZ,MST,Roofing,5,131,Google Places API,GBP-verified,
84,72,XRP Roofing,+16233008097,(623) 300-8097,Phoenix,AZ,MST,Roofing,5,116,Google Places API,GBP-verified,
85,72,Valley Roofing and Repair,+16232507663,(623) 250-7663,Phoenix,AZ,MST,Roofing,5,105,Google Places API,GBP-verified,
86,72,Phoenix Roofing Replacement Pros,+16024970225,(602) 497-0225,Phoenix,AZ,MST,Roofing,5,77,Google Places API,GBP-verified,
87,72,Scottsdale Roofing and Gutters,+14804260885,(480) 426-0885,Scottsdale,AZ,MST,Roofing,5,130,Google Places API,GBP-verified,
88,72,Canyon State Roofing & Consulting,+16024001635,(602) 400-1635,Phoenix,AZ,MST,Roofing,5,141,Google Places API,GBP-verified,
89,72,Tampa Bay Plumbers LLC,+18136866349,(813) 686-6349,Tampa,FL,ET,Plumbing,4.7,1191,Google Places API,GBP-verified,
90,72,Matt's Plumbing Services,+18132697370,(813) 269-7370,Tampa,FL,ET,Plumbing,4.7,1663,Google Places API,GBP-verified,
91,72,"Cass Plumbing, Inc.",+18136802980,(813) 680-2980,Tampa,FL,ET,Plumbing,4.5,759,Google Places API,GBP-verified,
92,72,Squeaks Services Plumbing Heating & Air - Denver,+13032805765,(303) 280-5765,Denver,CO,MT,Plumbing,4.8,1877,Google Places API,GBP-verified,
93,71,Direct Air Conditioning,+17868845021,(786) 884-5021,Miami,FL,ET,HVAC,4.8,2584,Google Places API,GBP-verified,
94,71,Best Price Mini Splits Miami Fl,+17864477745,(786) 447-7745,Miami,FL,ET,HVAC,4.9,201,Google Places API,GBP-verified,
95,71,Freezing Mechanical,+13053637021,(305) 363-7021,Miami Gardens,FL,ET,HVAC,4.7,1410,Google Places API,GBP-verified,
96,71,Air Conditioning Repair Downtown Miami LLC,+17864326002,(786) 432-6002,Miami,FL,ET,HVAC,5,2,Google Places API,GBP-verified,
97,71,All Year Cooling & Plumbing,+18888208705,(888) 820-8705,Coral Springs,FL,ET,HVAC,4.8,2490,Google Places API,GBP-verified,
98,71,Lindstrom Air Conditioning & Plumbing,+18007758691,(800) 775-8691,Pompano Beach,FL,ET,HVAC,4.7,11259,Google Places API,GBP-verified,
99,71,Cool Air ASAP,+17543043489,(754) 304-3489,Lauderhill,FL,ET,HVAC,4.9,299,Google Places API,GBP-verified,
100,71,BW Air Conditioning,+19545657369,(954) 565-7369,Pompano Beach,FL,ET,HVAC,5,230,Google Places API,GBP-verified,
101,71,Edd Helms Electric & Air Conditioning,+18003292520,(800) 329-2520,Sunrise,FL,ET,HVAC,4.8,415,Google Places API,GBP-verified,
102,71,A Star Air Conditioning,+19547612600,(954) 761-2600,Fort Lauderdale,FL,ET,HVAC,4.9,168,Google Places API,GBP-verified,
103,71,Gold Plumbing & Repiping,+16452022034,(645) 202-2034,Miami,FL,ET,Plumbing,5,14,Google Places API,GBP-verified,
104,71,Moncrief Heating & Air Conditioning,+14709645141,(470) 964-5141,Atlanta,GA,ET,HVAC,4.8,3201,Google Places API,GBP-verified,
105,71,"Reliable Heating & Air, Plumbing and Electrical - Kennesaw",+17705949969,(770) 594-9969,Kennesaw,GA,ET,HVAC,4.7,11696,Google Places API,GBP-verified,
106,71,Cunningham Associates,+17703437565,(770) 343-7565,Atlanta,GA,ET,HVAC,4.8,1126,Google Places API,GBP-verified,
107,71,"Casteel Heating, Cooling, Plumbing & Electrical",+17707661673,(770) 766-1673,Marietta,GA,ET,HVAC,4.8,10126,Google Places API,GBP-verified,
108,71,Coolray Heating & Air Conditioning,+17704218400,(770) 421-8400,Marietta,GA,ET,HVAC,4.8,10697,Google Places API,GBP-verified,
109,71,"ANYTIME HEATING, COOLING AND PLUMBING",+16782031019,(678) 203-1019,Marietta,GA,ET,HVAC,4.8,409,Google Places API,GBP-verified,
110,71,Air Force Heating & Air,+17705252303,(770) 525-2303,Marietta,GA,ET,HVAC,4.8,1194,Google Places API,GBP-verified,
111,71,Vortex Mechanical Heating and Cooling,+17706157070,(770) 615-7070,Marietta,GA,ET,HVAC,5,246,Google Places API,GBP-verified,
112,71,United Air Temp,+17709990314,(770) 999-0314,Marietta,GA,ET,HVAC,4.8,498,Google Places API,GBP-verified,
113,71,"Harlen Johnson HVAC, Plumbing & Electrical",+19724026198,(972) 402-6198,Dallas,TX,CT,HVAC,4.8,1159,Google Places API,GBP-verified,
114,71,"Astar Air Conditioning, Plumbing & Electric",+19722787111,(972) 278-7111,Dallas,TX,CT,HVAC,4.8,2672,Google Places API,GBP-verified,
115,71,Coolinary Arts Heating & Cooling,+19729752665,(972) 975-2665,Dallas,TX,CT,HVAC,5,232,Google Places API,GBP-verified,
116,71,Service Experts Dallas,+19726197607,(972) 619-7607,Richardson,TX,CT,HVAC,4.8,3958,Google Places API,GBP-verified,
117,71,"AirCo Air Conditioning, Heating and Plumbing",+18176189916,(817) 618-9916,Fort Worth,TX,CT,HVAC,4.8,4539,Google Places API,GBP-verified,
118,71,One Hour Air Conditioning & Heating,+18177665706,(817) 766-5706,Fort Worth,TX,CT,HVAC,4.7,3198,Google Places API,GBP-verified,
119,71,Comfort Experts,+18173735848,(817) 373-5848,Fort Worth,TX,CT,HVAC,4.8,2000,Google Places API,GBP-corrected,+18176781287
120,71,Aire Serv of Fort Worth,+18179003858,(817) 900-3858,Fort Worth,TX,CT,HVAC,4.8,545,Google Places API,GBP-verified,
121,71,Service Experts Fort Worth,+18172415893,(817) 241-5893,Fort Worth,TX,CT,HVAC,4.8,5015,Google Places API,GBP-verified,
122,71,Fix My Air DFW AC Repair Fort Worth,+18173735848,(817) 373-5848,Fort Worth,TX,CT,HVAC,5,299,Google Places API,GBP-corrected,+18178393511
123,71,Seal Heating and Air Conditioning,+18173827088,(817) 382-7088,Fort Worth,TX,CT,HVAC,4.9,250,Google Places API,GBP-verified,
124,71,Fort Worth Mechanical Group,+18178017084,(817) 801-7084,Fort Worth,TX,CT,HVAC,4.9,158,Google Places API,GBP-verified,
125,71,Parker & Sons,+16024249619,(602) 424-9619,Phoenix,AZ,MST,HVAC,4.7,32625,Google Places API,GBP-verified,
126,71,Goettl Air Conditioning and Plumbing - Phoenix AZ,+16025170039,(602) 517-0039,Phoenix,AZ,MST,HVAC,4.7,13580,Google Places API,GBP-verified,
127,71,Semper Fi Heating and Cooling,+14807411440,(480) 741-1440,Mesa,AZ,MST,HVAC,4.8,11897,Google Places API,GBP-verified,
128,71,Promise Heating & Air,+16023630230,(602) 363-0230,Phoenix,AZ,MST,HVAC,5,229,Google Places API,GBP-verified,
129,71,Brown Roofing LLC,+16026265559,(602) 626-5559,Phoenix,AZ,MST,Roofing,4.9,266,Google Places API,GBP-verified,
130,71,TSM Roofing LLC,+16232138267,(623) 213-8267,Phoenix,AZ,MST,Roofing,4.8,464,Google Places API,GBP-verified,
131,71,Rob's Roofing LLC,+14806873604,(480) 687-3604,Phoenix,AZ,MST,Roofing,4.7,333,Google Places API,GBP-verified,
132,71,Air Masters of Tampa Bay,+18775030588,(877) 503-0588,Tampa,FL,ET,HVAC,4.7,1568,Google Places API,GBP-verified,
133,71,"Del-Air Heating, Air Conditioning and Plumbing",+18138595030,(813) 859-5030,Tampa,FL,ET,HVAC,4.8,1540,Google Places API,GBP-corrected,+18135150098
134,71,"Acree Plumbing, Air & Electric",+18133241661,(813) 324-1661,Tampa,FL,ET,HVAC,4.6,10513,Google Places API,GBP-verified,
135,71,"Super Heat, Air, And Plumbing",+18133021618,(813) 302-1618,Tampa,FL,ET,HVAC,4.7,3909,Google Places API,GBP-verified,
136,71,Caldeco Air Conditioning & Heating,+18132542211,(813) 254-2211,Tampa,FL,ET,HVAC,4.8,1128,Google Places API,GBP-verified,
137,71,Action Air Conditioning - AC Repair Tampa,+17273298483,(727) 329-8483,Tampa,FL,ET,HVAC,4.6,615,Google Places API,GBP-corrected,+18139356644
138,71,One Hour Air Conditioning & Heating,+18132910655,(813) 291-0655,Tampa,FL,ET,HVAC,4.6,4232,Google Places API,GBP-verified,
139,71,"Golden West Plumbing, Heating, Air Conditioning, and Electrical",+13035299771,(303) 529-9771,Denver,CO,MT,HVAC,4.8,3658,Google Places API,GBP-verified,
140,71,Roots Heating & Air,+13033813061,(303) 381-3061,Denver,CO,MT,HVAC,5,267,Google Places API,GBP-verified,
141,71,"Heart Heating, Cooling, Plumbing & Electric",+17204420474,(720) 442-0474,Denver,CO,MT,HVAC,4.8,2908,Google Places API,GBP-verified,
142,71,"Ultimate Heating, Cooling, Plumbing & Electric",+17203069245,(720) 306-9245,Denver,CO,MT,HVAC,4.8,1221,Google Places API,GBP-verified,
143,71,"Sanders & Johnson Heating, Cooling, and Plumbing",+17206192021,(720) 619-2021,Denver,CO,MT,HVAC,4.8,741,Google Places API,GBP-verified,
144,69,Emergency AC Corp,+18335141414,(833) 514-1414,Miami,FL,ET,HVAC,4.8,1157,Google Places API,GBP-verified,
145,69,Stay Cool HVAC In Florida LLC,+19544779399,(954) 477-9399,Fort Lauderdale,FL,ET,HVAC,4.9,342,Google Places API,GBP-verified,
146,69,Hernandez Plumbing Co.,+13054283782,(305) 428-3782,Doral,FL,ET,Plumbing,4.8,513,Google Places API,GBP-verified,
147,69,Sunny Bliss Plumbing & Air,+13054400621,(305) 440-0621,Miami Beach,FL,ET,Plumbing,4.8,593,Google Places API,GBP-verified,
148,69,Roto-Rooter Plumbing & Water Cleanup,+13056617838,(305) 661-7838,Miami,FL,ET,Plumbing,4.7,2284,Google Places API,GBP-verified,
149,69,Plumbing Around The Clock,+19548745152,(954) 874-5152,Fort Lauderdale,FL,ET,Plumbing,4.8,1570,Google Places API,GBP-verified,
150,69,Terry's Plumbing,+19545664357,(954) 566-4357,Oakland Park,FL,ET,Plumbing,4.6,628,Google Places API,GBP-verified,
151,69,Joe Hillman Plumbers,+19545779445,(954) 577-9445,Davie,FL,ET,Plumbing,4.8,900,Google Places API,GBP-verified,
152,69,Kyle Plumbing,+19549941220,(954) 994-1220,Fort Lauderdale,FL,ET,Plumbing,4.8,729,Google Places API,GBP-verified,
153,69,Coastal Plumbing & Mechanical Service,+19547327342,(954) 732-7342,Tamarac,FL,ET,Plumbing,4.9,247,Google Places API,GBP-verified,
154,69,Estes Services,+14043669620,(404) 366-9620,Atlanta,GA,ET,HVAC,4.9,4673,Google Places API,GBP-verified,
155,69,Empire Heating & Air Conditioning Inc,+14042940900,(404) 294-0900,Decatur,GA,ET,HVAC,4.9,1151,Google Places API,GBP-verified,
156,69,Comfort Solutions Heating & Cooling LLC,+17708002665,(770) 800-2665,Winston,GA,ET,HVAC,4.9,1384,Google Places API,GBP-verified,
157,69,Palette Plumbing,+14702024432,(470) 202-4432,Atlanta,GA,ET,Plumbing,4.9,291,Google Places API,GBP-verified,
158,69,The Plumbers Guild,+14046945128,(404) 694-5128,Atlanta,GA,ET,Plumbing,4.9,152,Google Places API,GBP-verified,
159,69,Superior Plumbing,+17704227586,(770) 422-7586,Kennesaw,GA,ET,Plumbing,4.8,4961,Google Places API,GBP-verified,
160,69,Roto-Rooter Plumbing & Water Cleanup,+14048152959,(404) 815-2959,Atlanta,GA,ET,Plumbing,4.8,5638,Google Places API,GBP-verified,
161,69,"Innovative Mechanical, LLC",+17707267407,(770) 726-7407,Marietta,GA,ET,HVAC,4.9,313,Google Places API,GBP-verified,
162,69,"Precision Heating & Air, Inc.",+17707586551,(770) 758-6551,Dallas,GA,ET,HVAC,4.9,1874,Google Places API,GBP-verified,
163,69,Texas AirZone LLC,+12148513886,(214) 851-3886,Dallas,TX,CT,HVAC,5,819,Google Places API,GBP-verified,
164,69,Mondragon Mechanical LLC,+19722147002,(972) 214-7002,Dallas,TX,CT,HVAC,4.9,526,Google Places API,GBP-verified,
165,69,United States Home Services,+12143015784,(214) 301-5784,Dallas,TX,CT,HVAC,5,1735,Google Places API,GBP-verified,
166,69,"Mother Modern Plumbing, Sewer & Drain",+14692069515,(469) 206-9515,Dallas,TX,CT,Plumbing,5,243,Google Places API,GBP-verified,
167,69,"Baker Brothers Plumbing, Air & Electric",+12143248811,(214) 324-8811,Mesquite,TX,CT,Plumbing,4.8,24543,Google Places API,GBP-verified,
168,69,Dallas Plumbing & Air Conditioning,+19725236625,(972) 523-6625,Dallas,TX,CT,Plumbing,4.6,1159,Google Places API,GBP-corrected,+12144667557
169,69,Mr. Rooter Plumbing of Farmers Branch,+19722545600,(972) 254-5600,Farmers Branch,TX,CT,Plumbing,4.7,1588,Google Places API,GBP-verified,
170,69,All Masters Plumbing,+12143960270,(214) 396-0270,Dallas,TX,CT,Plumbing,4.5,848,Google Places API,GBP-verified,
171,69,Roto-Rooter Plumbing & Water Cleanup,+19728222200,(972) 822-2200,Dallas,TX,CT,Plumbing,4.8,1066,Google Places API,GBP-verified,
172,69,Pure Plumbing,+14695250000,(469) 525-0000,Richardson,TX,CT,Plumbing,4.8,925,Google Places API,GBP-verified,
173,69,Mr. Rooter Plumbing of Dallas,+12143399027,(214) 339-9027,Dallas,TX,CT,Plumbing,4.8,561,Google Places API,GBP-verified,
174,69,Fort Worth Air Conditioning Co. Inc.,+18173676000,(817) 367-6000,Fort Worth,TX,CT,HVAC,4.9,457,Google Places API,GBP-verified,
175,69,"1st Choice Plumbing, Heating & Air Solutions",+18176741300,(817) 674-1300,Fort Worth,TX,CT,HVAC,4.9,1834,Google Places API,GBP-verified,
176,69,Prime Time Heating And Air LLC,+18178887313,(817) 888-7313,Fort Worth,TX,CT,HVAC,5,585,Google Places API,GBP-verified,
177,69,"NSG Heating and Air Specialists, LLC",+18179934822,(817) 993-4822,Fort Worth,TX,CT,HVAC,5,351,Google Places API,GBP-verified,
178,69,"Comfort Experts, Inc.",+18178394687,(817) 839-4687,Fort Worth,TX,CT,HVAC,4.9,866,Google Places API,GBP-verified,
179,69,Island Breeze Air Conditioning & Heating LLC,+16236926013,(623) 692-6013,Phoenix,AZ,MST,HVAC,5,606,Google Places API,GBP-verified,
180,69,AZ Home Services Group AC Repair & Plumbing Services,+16028067212,(602) 806-7212,Tempe,AZ,MST,HVAC,5,1580,Google Places API,GBP-verified,
181,69,Lincoln AC & Heating Repair,+16232948185,(623) 294-8185,Phoenix,AZ,MST,HVAC,4.9,342,Google Places API,GBP-verified,
182,69,Omnia Plumbing,+14807728342,(480) 772-8342,Scottsdale,AZ,MST,Plumbing,5,156,Google Places API,GBP-verified,
183,69,Cactus Plumbing And Air,+14804189912,(480) 418-9912,Scottsdale,AZ,MST,Plumbing,4.8,347,Google Places API,GBP-verified,
184,69,Flush King Plumbing,+16026441950,(602) 644-1950,Scottsdale,AZ,MST,Plumbing,4.8,469,Google Places API,GBP-verified,
185,69,Neighborhood Plumber & Drain Service,+16027559098,(602) 755-9098,Scottsdale,AZ,MST,Plumbing,5,228,Google Places API,GBP-verified,
186,69,Roto-Rooter Plumbing & Water Cleanup,+14804286335,(480) 428-6335,Scottsdale,AZ,MST,Plumbing,4.8,525,Google Places API,GBP-verified,
187,69,The Clean Plumbers - Tampa,+18137766191,(813) 776-6191,Tampa,FL,ET,Plumbing,4.8,911,Google Places API,GBP-verified,
188,69,"Red Cap Plumbing, Air & Electric",+18135963030,(813) 596-3030,Tampa,FL,ET,Plumbing,4.7,7088,Google Places API,GBP-verified,
189,69,EVERYDAYPLUMBER.com,+18138720200,(813) 872-0200,Tampa,FL,ET,Plumbing,4.8,1252,Google Places API,GBP-verified,
190,69,Grable Plumbing & Air,+18136804806,(813) 680-4806,Tampa,FL,ET,Plumbing,4.8,859,Google Places API,GBP-verified,
191,69,Alvarez Plumbing & Air Conditioning,+18132130533,(813) 213-0533,Tampa,FL,ET,Plumbing,4.8,2468,Google Places API,GBP-verified,
192,69,Mr. Rooter Plumbing of Tampa,+18137042093,(813) 704-2093,Tampa,FL,ET,Plumbing,4.8,554,Google Places API,GBP-verified,
