Business Name,Phone,Phone_Display,City,State,Niche,Reviews,Rating,Verification,Original Phone,Owner_Name,Owner_Confidence,Owner_Sources,Website
"Peter's Plumbing & Remodeling, LLC",+18323018531,(832) 301-8531,Houston,TX,Plumbing,123,4.9,GBP-verified,,,none,,http://petersplumbingtx.com/
Houston Plumbing Services,+17138978532,(713) 897-8532,Houston,TX,Plumbing,220,4.9,GBP-corrected,(713) 231-3309,,none,,https://www.houstonplumbingservices.com/
Nick's Plumbing & Air Conditioning,+17138689907,(713) 868-9907,Houston,TX,Plumbing,4030,4.7,GBP-verified,,,none,,https://www.nicksplumbing.com/
"Village Plumbing, Air & Electric",+12816075357,(281) 607-5357,Houston,TX,Plumbing,9577,4.8,GBP-verified,,,none,,https://villageplumbing.com/
GEI Plumbing Services Houston,+18324028312,(832) 402-8312,Houston,TX,Plumbing,653,4.8,GBP-verified,,,none,,http://www.geiplumbingservices.com/
Texas Plumbing,+17133850349,(713) 385-0349,Houston,TX,Plumbing,173,4.6,GBP-corrected,(713) 478-5766,Nathan Rosalinda,medium,website,https://www.texasplumbing911.com/
Texas Quality Plumbing,+17133850349,(713) 385-0349,Houston,TX,Plumbing,3725,4.8,GBP-verified,,,none,,https://www.texasqualityplumbing.com/
Halo Plumbing Services,+13466425698,(346) 642-5698,Houston,TX,Plumbing,524,4.8,GBP-verified,,,none,,https://haloplumbingtx.com/
Cooper Plumbing | Houston Plumber,+18324419683,(832) 441-9683,Houston,TX,Plumbing,510,4.9,GBP-verified,,,none,,https://www.cooperplumbinghouston.com/
David Hicks Plumbing,+17135280141,(713) 528-0141,Houston,TX,Plumbing,195,4.6,GBP-verified,,,none,,https://www.davidhicksplumbing.com/
One plumbing expert houston,+13464895622,(346) 489-5622,Houston,TX,Plumbing,55,5.0,GBP-verified,,,none,,https://oneplumbingexperthouston.com/
"C&R Plumbing Services, LLC.",+17132318555,(713) 231-8555,Houston,TX,Plumbing,68,4.9,GBP-verified,,Robert Duque,medium,website,https://cnrplumber.com/
GC&more. Plomeros en Houston & Construction,+18324541397,(832) 454-1397,Houston,TX,Plumbing,146,4.9,GBP-verified,,,none,,https://gcmore.com/
Aberle Plumbing LLC,+12814585911,(281) 458-5911,Houston,TX,Plumbing,482,4.9,GBP-verified,,,none,,http://aberleplumbing.com/
H-Town Plumbers,+18323180390,(832) 318-0390,Houston,TX,Plumbing,273,4.9,GBP-verified,,,none,,https://www.htownplumbers.com/
Paul Richard Electric,+18322067990,(832) 206-7990,Houston,TX,Electrical,162,4.7,GBP-verified,,,none,,https://paulrichardelectric.com/
"A1 Plus Electrical, Plumbing and Air",+18325095747,(832) 509-5747,Houston,TX,Electrical,4558,4.8,GBP-verified,,,none,,https://a1plus.com/electrical-services/
Mid-West Electric Company-Houston,+17136810627,(713) 681-0627,Houston,TX,Electrical,50,4.9,GBP-verified,,,none,,https://mid-westelectric.com/
Mr. Electric of Houston Midtown,+18328446353,(832) 844-6353,Houston,TX,Electrical,509,4.8,GBP-verified,,,none,,https://mrelectric.com/houston-midtown/
Electrical Masters Company Inc.,+18329703101,(832) 970-3101,Houston,TX,Electrical,102,5.0,GBP-verified,,,none,,https://www.electricalmasterscompany.com/
Action Electric Co,+17133925795,(713) 392-5795,Houston,TX,Electrical,102,4.9,GBP-verified,,,none,,
Colwell Electric,+17133226452,(713) 322-6452,Houston,TX,Electrical,218,4.9,GBP-verified,,,none,,https://www.colwellelectric.com/
"West Houston Electric, Inc.",+12817478821,(281) 747-8821,Houston,TX,Electrical,2255,4.9,GBP-verified,,Randy Deyo,medium,website,https://www.westhoustonelectric.com/
Harvest Electrical Solutions,+18325848448,(832) 584-8448,Houston,TX,Electrical,348,5.0,GBP-verified,,,none,,http://harvest-tx.com/
Camden Electric LLC,+18322123118,(832) 212-3118,Houston,TX,Electrical,51,4.9,GBP-verified,,,none,,https://camdenelectricllc.com/
Nextdoor Electric,+18328413889,(832) 841-3889,Houston,TX,Electrical,337,4.9,GBP-verified,,,none,,https://www.nextdoorelectrictx.com/
Dynamic Electric Inc,+17138963123,(713) 896-3123,Houston,TX,Electrical,172,4.8,GBP-verified,,Edgar Larios,medium,website,http://www.dynamicelecusa.com/
Electrical Works of Houston,+17134760429,(713) 476-0429,Houston,TX,Electrical,56,5.0,GBP-verified,,Rick Curry,medium,website,https://www.electricalworksofhouston.com/
Right Touch Electrical West Houston,+12815197485,(281) 519-7485,Houston,TX,Electrical,85,4.9,GBP-verified,,,none,,https://www.righttouchelectrical.com/
"Definite Electric, LLC",+18325809613,(832) 580-9613,Houston,TX,Electrical,67,4.9,GBP-verified,,,none,,https://www.definiteelectric.com/
Mister Sparky Electrician Houston,+17134282120,(713) 428-2120,Houston,TX,Electrical,1129,4.8,GBP-verified,,,none,,https://www.mistersparky-houston.com/
Innovative Skylights & Attics,+17134661551,(713) 466-1551,Houston,TX,Roofing,115,4.8,GBP-verified,,Jonathan Hearts,medium,website,https://innovativeskylights.com/
JC&C Roofing Company,+12814987663,(281) 498-7663,Houston,TX,Roofing,397,4.8,GBP-verified,,Christian Hernandez,medium,website,https://www.myroofimprovement.com/
Houston Roofing & Construction,+17134661551,(713) 466-1551,Houston,TX,Roofing,326,4.9,GBP-corrected,(832) 237-3737,,none,,http://www.houstonroofingonline.com/
Amstill Roofing,+12816128747,(281) 612-8747,Houston,TX,Roofing,1641,4.9,GBP-verified,,Sam Stilley,medium,website,https://amstillroofing.com/houston-roofing/
EZ Roof and Construction,+18329795409,(832) 979-5409,Houston,TX,Roofing,544,4.9,GBP-verified,,,none,,https://ezroofhouston.com/
"Precision Roof Crafters, Inc.",+17134971211,(713) 497-1211,Houston,TX,Roofing,403,4.9,GBP-verified,,,none,,https://precisionroofcrafters.com/
Priority Roofing,+12813800357,(281) 380-0357,Houston,TX,Roofing,344,5.0,GBP-verified,,,none,,https://priorityroofs.com/location/houston/
Best Roofing and Construction LLC,+18326555418,(832) 655-5418,Houston,TX,Roofing,52,4.9,GBP-verified,,,none,,http://www.bestroofingandconstructionllc.com/
All Over Exterior Roofing,+12818466665,(281) 846-6665,Houston,TX,Roofing,240,5.0,GBP-verified,,,none,,https://allovertxroofing.com/
Houston Roofing Experts,+17134661551,(713) 466-1551,Houston,TX,Roofing,112,4.9,GBP-corrected,(713) 291-3866,Agustin Gomez,medium,website,https://houstonroofingexperts.com/
Monarch Roofing Houston,+18322150987,(832) 215-0987,Houston,TX,Roofing,156,4.7,GBP-verified,,Shane Schlemeyer,medium,website,https://www.monarch-roofing.com/
Advanced Roofing Solutions LLC,+17134661551,(713) 466-1551,Houston,TX,Roofing,230,4.8,GBP-corrected,(832) 430-7374,Timothy R. Payne,medium,website,https://www.advancedroofinghouston.com/
State Roofing Company,+12812937000,(281) 293-7000,Houston,TX,Roofing,135,4.9,GBP-verified,,,none,,https://www.stateroofingtexas.com/
314 Roofing Solutions,+18329091681,(832) 909-1681,Houston,TX,Roofing,1146,5.0,GBP-verified,,,none,,https://314roofing.com/
TX Roofing & Services,+17138202302,(713) 820-2302,Houston,TX,Roofing,83,4.9,GBP-verified,,,none,,http://www.txroofingandservices.com/
Moss Roofing Houston,+18328408027,(832) 840-8027,Houston,TX,Roofing,621,5.0,GBP-verified,,,none,,http://www.mossroofinghouston.com/
Rose Roofing,+17138495155,(713) 849-5155,Houston,TX,Roofing,432,4.9,GBP-verified,,,none,,https://www.roseroofing.com/
West Shore Home,+17139292795,(713) 929-2795,Houston,TX,General Contractor,890,4.9,GBP-corrected,(866) 727-5031,,none,,https://westshorehome.com/locations/houston-tx/
HM General Contractors,+17139476548,(713) 947-6548,Houston,TX,General Contractor,62,4.6,GBP-verified,,,none,,
Houston Remodeling Contractors,+13467884431,(346) 788-4431,Houston,TX,General Contractor,63,4.2,GBP-corrected,(713) 597-1604,,none,,http://www.houstonremodelingcontractors.com/
Houston Construction Pro,+18328105377,(832) 810-5377,Houston,TX,General Contractor,58,5.0,GBP-verified,,,none,,https://houstonconstructionpro.com/
RJT Construction LLC,+18329794175,(832) 979-4175,Houston,TX,General Contractor,111,4.9,GBP-verified,,,none,,https://rjt-constructionllc.com/
Platinum Construction Houston,+12818014719,(281) 801-4719,Houston,TX,General Contractor,63,4.7,GBP-corrected,(832) 803-0984,Ryan Volkers,medium,website,https://www.platinumconstructiontx.com/
SK Houston Constructions,+18322497807,(832) 249-7807,Houston,TX,General Contractor,140,4.9,GBP-verified,,,none,,https://www.skhoustonconstructions.com/
Unique Builders and Remodeling Houston,+17139033233,(713) 903-3233,Houston,TX,General Contractor,177,4.6,GBP-verified,,,none,,https://www.uniquebuilderstexas.com/
Luxurious Construction LLC,+12819012563,(281) 901-2563,Houston,TX,General Contractor,89,5.0,GBP-verified,,,none,,https://www.luxuriousconstruct.com/
Manuel and Sons Service Co.,+12105494839,(210) 549-4839,San Antonio,TX,HVAC,160,4.8,GBP-verified,,Ben Tamez,medium,website,https://manuelandsons.com/
Goettl Air Conditioning and Plumbing - San Antonio TX,+12104603966,(210) 460-3966,San Antonio,TX,HVAC,10307,4.8,GBP-verified,,,none,,https://www.goettl.com/location/san-antonio-texas/
TemperaturePro San Antonio,+12106248776,(210) 624-8776,San Antonio,TX,HVAC,858,5.0,GBP-verified,,,none,,https://www.reliabee.com/
Rosenberg Plumbing & Air,+12105037388,(210) 503-7388,San Antonio,TX,HVAC,2540,4.9,GBP-verified,,Michael Rosenberg,medium,website,https://rosenberghvac.com/
Air Authority LLC,+12108096493,(210) 809-6493,San Antonio,TX,HVAC,618,4.8,GBP-verified,,Chester Bull,medium,website,http://www.airauthorityllc.com/
Will Fix It,+12108668048,(210) 866-8048,San Antonio,TX,HVAC,8854,4.6,GBP-verified,,,none,,https://www.willfixit.com/locations
Champion AC - Climate Magic,+12109728796,(210) 972-8796,San Antonio,TX,HVAC,440,4.9,GBP-verified,,,none,,https://www.championac.com/air-conditioning/
Comfort-Air Engineering & Primo Plumbing,+12106721874,(210) 672-1874,San Antonio,TX,HVAC,481,4.8,GBP-verified,,Clint Wurzbach,medium,website,https://www.comfort-air.com/
Cowboy's Air Conditioning & Heating,+12104058925,(210) 405-8925,San Antonio,TX,HVAC,3911,4.7,GBP-verified,,,none,,https://www.cowboysac.com/
Radiant Plumbing & Air Conditioning,+12109343761,(210) 934-3761,San Antonio,TX,HVAC,2135,4.8,GBP-verified,,,none,,https://radiantplumbing.com/san-antonio/
Zero Heating AC & Refrigeration,+12109000824,(210) 900-0824,San Antonio,TX,HVAC,517,5.0,GBP-verified,,,none,,http://zerohvacandrefrigeration.com/
Zimmermann Air Conditioning & Heating,+12103408283,(210) 340-8283,San Antonio,TX,HVAC,1091,4.9,GBP-verified,,,none,,https://www.zimmermannservices.com/
AC Doctors,+12105432237,(210) 543-2237,San Antonio,TX,HVAC,285,4.9,GBP-verified,,Raul Rodriguez,medium,website,http://www.acdoctorstx.com/
Air Dynamics Mechanical,+12108523535,(210) 852-3535,San Antonio,TX,HVAC,225,4.9,GBP-verified,,,none,,http://www.airdynamicsmech.com/
EZ Air Conditioning & Heating,+12105587883,(210) 558-7883,San Antonio,TX,HVAC,582,4.9,GBP-verified,,,none,,https://www.ezacandheat.com/
AIR SYSTEMS A/C-HEATING AND REFRIGERATION,+19377764851,(937) 776-4851,San Antonio,TX,HVAC,294,4.9,GBP-corrected,(210) 738-2665,,none,,http://airsystemsac.com/
Blueline Heating & Air Conditioning LLC,+12106865500,(210) 686-5500,San Antonio,TX,HVAC,321,5.0,GBP-verified,,Joseph Deleon,medium,website,https://bluelineac.net/
Reliant Plumbing - San Antonio,+12104688020,(210) 468-8020,San Antonio,TX,Plumbing,556,4.7,GBP-verified,,Max Hicks,medium,website,https://reliantplumbing.com/recent-projects-san-antonio-area/
George Plumbing Co.,+12107400748,(210) 740-0748,San Antonio,TX,Plumbing,569,4.9,GBP-verified,,George S.,medium,website,https://yell4george.com/
"Big City Plumbing, LLC",+12104991010,(210) 499-1010,San Antonio,TX,Plumbing,1142,4.9,GBP-verified,,,none,,https://bigcityplumbingsa.com/
City Base Plumbing,+12107246225,(210) 724-6225,San Antonio,TX,Plumbing,405,4.9,GBP-verified,,,none,,https://www.citybaseplumbing.com/
San Antonio Plumbing,+12105203333,(210) 520-3333,San Antonio,TX,Plumbing,1052,4.8,GBP-verified,,,none,,https://www.sanantonioplumbing.co/
Chambliss Plumbing Company,+12107977471,(210) 797-7471,San Antonio,TX,Plumbing,1433,5.0,GBP-verified,,,none,,https://chamblissplumbing.com/
1st Call Plumbing & AC,+12104460200,(210) 446-0200,San Antonio,TX,Plumbing,1968,4.9,GBP-verified,,John Aramendia,medium,website,https://1stcallplumbingandac.com/
Ambition Plumbing & Drain Services,+12102093510,(210) 209-3510,San Antonio,TX,Plumbing,594,4.9,GBP-verified,,,none,,http://www.ambitionplumbing.com/
J. R.'s Plumbing,+12107318433,(210) 731-8433,San Antonio,TX,Plumbing,107,4.4,GBP-verified,,,none,,https://www.jrsplumbing.net/
Mr. Plumber Plumbing Co.,+12106847010,(210) 684-7010,San Antonio,TX,Plumbing,1641,4.8,GBP-verified,,,none,,https://www.mrplumbersa.com/plumbing-services/
PlumbSmart,+12108100810,(210) 810-0810,San Antonio,TX,Plumbing,1020,4.9,GBP-verified,,,none,,https://plumbsmart-tx.com/
Mai Vu Plumbing,+12103931488,(210) 393-1488,San Antonio,TX,Plumbing,531,4.9,GBP-verified,,,none,,https://www.maivuplumbing.com/
Smith & Sons Plumbing,+12103380046,(210) 338-0046,San Antonio,TX,Plumbing,157,4.9,GBP-verified,,Peter Smith,medium,website,http://www.smithandsonstx.com/
Beyer Plumbing Company,+12102458053,(210) 245-8053,San Antonio,TX,Plumbing,139,4.9,GBP-verified,,Perry L. Beyer Jr.,medium,website,https://beyerplumbing.com/
Roadrunner Plumbing & Air,+12107632721,(210) 763-2721,San Antonio,TX,Plumbing,649,4.9,GBP-verified,,Chris Copeland,medium,website,https://www.callroadrunnerplumbing.com/
J.C. Enriquez Plumbing & Restoration,+12108308243,(210) 830-8243,San Antonio,TX,Plumbing,418,4.5,GBP-verified,,,none,,https://jcenriquezplumbing.com/
Juan's Plumbing Services,+12105143476,(210) 514-3476,San Antonio,TX,Plumbing,141,4.9,GBP-verified,,,none,,
Denali Electric LLC,+12106862700,(210) 686-2700,San Antonio,TX,Electrical,152,5.0,GBP-corrected,(210) 328-1115,,none,,https://www.denalielectricllc.com/
Citywide Electric,+12108570899,(210) 857-0899,San Antonio,TX,Electrical,153,4.9,GBP-verified,,,none,,http://citywideelectric.net/
Jireh Electric - Electrician San Antonio TX,+12106862700,(210) 686-2700,San Antonio,TX,Electrical,537,4.9,GBP-corrected,(210) 405-4407,,none,,https://jirehelectric.com/
Mr. Electric of San Antonio,+12104681100,(210) 468-1100,San Antonio,TX,Electrical,1149,4.8,GBP-verified,,,none,,https://mrelectric.com/san-antonio/
Bolt Electric,+12105452658,(210) 545-2658,San Antonio,TX,Electrical,304,4.9,GBP-verified,,,none,,https://www.boltelectricsa.com/all-services/
Absolute Power Electrical Contractors,+12106473138,(210) 647-3138,San Antonio,TX,Electrical,355,4.9,GBP-verified,,George Salinas,medium,website,http://www.absolute-pwr.com/
Allgood Electric,+12102554663,(210) 255-4663,San Antonio,TX,Electrical,766,4.8,GBP-verified,,,none,,https://allgoodelectric.com/
Sunbelt Electric San Antonio,+12107652434,(210) 765-2434,San Antonio,TX,Electrical,82,4.7,GBP-verified,,,none,,http://sunbeltelectricsa.com/
All Star Electric,+12103910274,(210) 391-0274,San Antonio,TX,Electrical,106,4.7,GBP-verified,,,none,,https://www.allstarelectric-sa.com/
"Wired Generations Electrical Contractors, LLC",+17268004519,(726) 800-4519,San Antonio,TX,Electrical,99,5.0,GBP-verified,,Edward Saravia,medium,website,https://www.wiredgenerations-electrical.com/
LM Electric,+18303186993,(830) 318-6993,San Antonio,TX,Electrical,52,4.9,GBP-verified,,,none,,https://www.lmelectricsa.com/
Pro Electric San Antonio,+17267629737,(726) 762-9737,San Antonio,TX,Electrical,50,4.5,GBP-verified,,,none,,http://proelectricsa.com/
Bell Electric LLC,+12104225547,(210) 422-5547,San Antonio,TX,Electrical,113,4.8,GBP-verified,,,none,,http://bellelectricsa.com/
"4A Electrical Services, LLC",+12106218687,(210) 621-8687,San Antonio,TX,Electrical,291,5.0,GBP-verified,,Henry Alonzo,medium,website,https://www.4aelectricalservices.com/
KJ Electric Co. Inc.,+12107366155,(210) 736-6155,San Antonio,TX,Electrical,51,4.8,GBP-verified,,,none,,
Bondoc Roofing: San Antonio Roofing Company,+12107961096,(210) 796-1096,San Antonio,TX,Roofing,1257,4.9,GBP-verified,,,none,,https://bondocroofing.com/
Rhino Roofers: San Antonio Roofing Company,+12107562834,(210) 756-2834,San Antonio,TX,Roofing,1334,5.0,GBP-verified,,,none,,https://rhinoroofers.com/
Presidio Roofing Company of San Antonio,+12109207906,(210) 920-7906,San Antonio,TX,Roofing,309,5.0,GBP-verified,,Mike Tavenner,medium,website,https://presidioroof.com/
Texas Family Roofing,+12109412858,(210) 941-2858,San Antonio,TX,Roofing,882,4.9,GBP-verified,,Paul Perez,medium,website,https://texasfamilyroofing.com/
Stephens Roofing & Remodeling,+12107850994,(210) 785-0994,San Antonio,TX,Roofing,581,4.5,GBP-verified,,,none,,https://www.stephensroofing.net/
BH Roofing: San Antonio Roofing Company,+12102679029,(210) 267-9029,San Antonio,TX,Roofing,434,4.9,GBP-verified,,Bobby Hernandez,medium,website,https://bhroofingsa.com/
Rox Roofing,+12109038139,(210) 903-8139,San Antonio,TX,Roofing,311,4.9,GBP-verified,,,none,,https://roxroofing.com/
Premier Roofing and Contracting,+12108676001,(210) 867-6001,San Antonio,TX,Roofing,206,4.9,GBP-verified,,,none,,https://www.premierroofingandcontracting.com/
Integrity Roofing & Siding,+12103407663,(210) 340-7663,San Antonio,TX,Roofing,328,4.8,GBP-verified,,,none,,https://integritysa.com/
Ideal Precision Roofing & Exteriors LLC,+12104851553,(210) 485-1553,San Antonio,TX,Roofing,385,4.9,GBP-verified,,Michael Munk,medium,website,http://www.idealprecisionroofing.com/
Apex Roofing & General Contractors,+17267277663,(726) 727-7663,San Antonio,TX,Roofing,189,4.9,GBP-verified,,,none,,https://apexroofing.biz/
Shield Roofing: San Antonio Roofing Company,+12103483680,(210) 348-3680,San Antonio,TX,Roofing,335,5.0,GBP-verified,,,none,,https://shieldroofingonline.com/
Two Brothers Roofing,+12103614013,(210) 361-4013,San Antonio,TX,Roofing,167,4.9,GBP-verified,,Ruben Cardenas,medium,website,http://twoprobros.com/
Dolan Roofing & Construction,+12103614924,(210) 361-4924,San Antonio,TX,Roofing,432,5.0,GBP-verified,,,none,,https://www.dolanroofing.com/san-antonio/
Cool Roofs - San Antonio,+17262273008,(726) 227-3008,San Antonio,TX,Roofing,226,5.0,GBP-verified,,,none,,https://coolroofs.co/location/san-antonio/
Blues Crews,+18303602583,(830) 360-2583,San Antonio,TX,Roofing,426,5.0,GBP-verified,,Brandon Green,medium,website,https://www.thebluescrews.com/
GMG Construction of South Texas,+12102607951,(210) 260-7951,San Antonio,TX,General Contractor,99,4.8,GBP-verified,,,none,,http://www.gmgconstructionofsouthtx.com/
Premium Construction San Antonio,+12106105003,(210) 610-5003,San Antonio,TX,General Contractor,838,4.4,GBP-verified,,,none,,https://sites.google.com/view/premiumconstructionsanantonio/home
Herbert H. Construction,+12103381824,(210) 338-1824,San Antonio,TX,General Contractor,100,4.9,GBP-verified,,,none,,https://www.herberthconstructionsa.com/
ALO General Contractor,+12105483906,(210) 548-3906,San Antonio,TX,General Contractor,92,4.8,GBP-verified,,,none,,https://alogc.com/
INDOOR EXPERTS HEATING & AIR CONDITIONING,+16785062226,(678) 506-2226,Atlanta,GA,HVAC,102,4.8,GBP-verified,,,none,,https://www.indoorexperts.com/
"Essential Heating & Air Conditioning, Inc.",+17702104822,(770) 210-4822,Atlanta,GA,HVAC,269,4.8,GBP-verified,,Anthony L. Detamore,medium,website,http://www.essentialheatandair.com/
ATLANTA HVAC PROS,+14049620203,(404) 962-0203,Atlanta,GA,HVAC,57,4.8,GBP-verified,,,none,,
Esquire Heating And Air,+14043978224,(404) 397-8224,Atlanta,GA,HVAC,84,4.9,GBP-verified,,,none,,http://www.esquirehvac.com/
Mayott Heating and Air Conditioning,+16786987840,(678) 698-7840,Atlanta,GA,HVAC,347,4.8,GBP-verified,,,none,,
O'Callaghan Heating & Air Conditioning,+14045776885,(404) 577-6885,Atlanta,GA,HVAC,587,4.9,GBP-verified,,,none,,http://ocallaghanair.com/
Rodeo Plumbing of Atlanta,+14044700443,(404) 470-0443,Atlanta,GA,Plumbing,454,5.0,GBP-verified,,,none,,
Morningside Plumbing,+14048731881,(404) 873-1881,Atlanta,GA,Plumbing,330,4.8,GBP-verified,,,none,,
McCall Enterprises,+17704846402,(770) 484-6402,Atlanta,GA,Electrical,514,5.0,GBP-verified,,,none,,https://mccallent.com/
Pat Murphy Electric Inc.,+14045774191,(404) 577-4191,Atlanta,GA,Electrical,825,4.9,GBP-verified,,,none,,https://patmurphyelectric.com/
The Electrician,+14042560169,(404) 256-0169,Atlanta,GA,Electrical,448,5.0,GBP-verified,,Warren Manne,medium,website,https://www.theelectricianatlanta.com/
1st Generation Electric LLC,+14047894596,(404) 789-4596,Atlanta,GA,Electrical,112,5.0,GBP-verified,,Brian Foster,medium,website,http://firstgenelectric.com/
Handy Electrician,+16788735674,(678) 873-5674,Atlanta,GA,Electrical,215,4.9,GBP-verified,,Percy Hampton,medium,website,http://www.handyelectrician.com/
Yara Electric,+18439913654,(843) 991-3654,Atlanta,GA,Electrical,77,4.9,GBP-verified,,,none,,https://www.thumbtack.com/ga/atlanta/electrical-repairs/yara-electric/service/412197754593878024
Mr Wise Electric,+14046719488,(404) 671-9488,Atlanta,GA,Electrical,108,4.8,GBP-verified,,,none,,http://mrwiseelectric.com/
"Castle Roofing Atlanta, GA",+14706016422,(470) 601-6422,Atlanta,GA,Roofing,597,4.8,GBP-verified,,,none,,https://www.castleroofing.us/
Colony Roofers,+14704659624,(470) 465-9624,Atlanta,GA,Roofing,409,4.9,GBP-verified,,,none,,https://www.colonyroofers.com/
Mr. Roofer,+17706373874,(770) 637-3874,Atlanta,GA,Roofing,185,4.9,GBP-verified,,,none,,https://www.mrrooferatlanta.com/roofing-company-atlanta/
The Cool Roofing Company Atlanta,+18882161766,(888) 216-1766,Atlanta,GA,Roofing,98,4.9,GBP-verified,,,none,,https://thecoolroofingcompany.com/service-areas/georgia/atlanta/
Bell Roofing,+14048747663,(404) 874-7663,Atlanta,GA,Roofing,478,4.8,GBP-verified,,,none,,http://www.bellroofingco.com/
Mosaic Roofing Company LLC,+14042603168,(404) 260-3168,Atlanta,GA,Roofing,104,5.0,GBP-verified,,,none,,https://mosaicroofingcompany.com/
Bumble Roofing of North Atlanta,+14703543188,(470) 354-3188,Atlanta,GA,Roofing,115,5.0,GBP-verified,,,none,,https://bumbleroofing.com/north-atlanta
YMH Construction,+17702150078,(770) 215-0078,Atlanta,GA,General Contractor,58,5.0,GBP-corrected,(404) 483-8261,,none,,
CRM Construction & Renovation,+14704186437,(470) 418-6437,Atlanta,GA,General Contractor,56,5.0,GBP-verified,,,none,,https://www.crm-construction.com/
1st Choice Custom Homes and Remodel ATL,+16786402272,(678) 640-2272,Atlanta,GA,General Contractor,116,4.9,GBP-verified,,,none,,http://www.1stchoiceremodelatl.com/
Affordable Remodeling,+14045319292,(404) 531-9292,Atlanta,GA,General Contractor,195,4.7,GBP-verified,,,none,,http://www.affordableremodelingatl.com/
Ken Muncy Air Conditioning,+14802109071,(480) 210-9071,Phoenix,AZ,HVAC,279,5.0,GBP-corrected,(480) 267-9159,,none,,https://www.kenmuncy.com/
APES HVAC & Plumbing,+16235211172,(623) 521-1172,Phoenix,AZ,HVAC,2493,4.9,GBP-corrected,(833) 851-3167,,none,,https://go4apes.com/
AZ Perfect Comfort Heating & Cooling,+16028588261,(602) 858-8261,Phoenix,AZ,HVAC,711,4.9,GBP-verified,,,none,,https://azperfectcomfort.com/
"Maloney Plumbing & Drain Services in Phoenix, AZ",+16026713617,(602) 671-3617,Phoenix,AZ,Plumbing,1061,4.9,GBP-verified,,,none,,https://www.maloneyplumbing.com/
