Business Name,Phone,City,State,Niche,Rating,Reviews,Website,Address,Pain Score,Pain Evidence
"Southern Arizona Roof Associates, LLC",(520) 438-7663,Tucson,AZ,roofing,4.9,88,https://getroof.com/,"3429 E Kleindale Rd #101, Tucson, AZ 85716, USA",3,"[5*] ""Dan and his team at Southern Arizona Roofing Associates have exceeded my expectations with their exc..."" (keyword: tried calling)"
Action Electric Co,(713) 392-5795,Houston,TX,electrical contractor,4.9,103,,"11526 Dunlap St, Houston, TX 77035, USA",2,No website
Dallas Electrics Contractor Pros,(214) 206-8435,Dallas,TX,electrical contractor,4.8,21,,"1810 High Hill Blvd, Dallas, TX 75203, USA",2,No website
Phoenix Best Electricians,(602) 780-1140,Phoenix,AZ,electrical contractor,4.8,124,,"8929 N Central Ave #53C, Phoenix, AZ 85020, USA",2,No website
Barth Electric Co Inc,(317) 924-6226,Indianapolis,IN,electrical contractor,3.7,21,http://www.barthelectric.com/,"1934 N Illinois St, Indianapolis, IN 46202, USA",2,Rating: 3.7
Indy Electric,(317) 746-6752,Indianapolis,IN,electrical contractor,5,25,,"4320 W 59th St #1204, Indianapolis, IN 46254, USA",2,No website
Wiggins Brothers Electricians Co,(317) 751-9551,Indianapolis,IN,electrical contractor,4.7,79,,"8260 Naab Rd #4240, Indianapolis, IN 46260, USA",2,No website
KJ Electric Co. Inc.,(210) 736-6155,San,TX,electrical contractor,4.8,51,,"2630 Culebra Rd, San Antonio, TX 78228, USA",2,No website
Adept Electric Birmingham Co,(659) 207-8256,Birmingham,AL,electrical contractor,5,27,,"4117 2nd Ave S, Birmingham, AL 35222, USA",2,No website
Tucson Fast House Electric,(520) 523-2894,Tucson,AZ,electrical contractor,4.8,137,,"7018 E Golf Links Rd #5470, Tucson, AZ 85730, USA",2,No website
