Business Name,Phone,City,State,Niche,Rating,Reviews,Website,Address,Pain Score,Pain Evidence,Source,Verified,Hours
Turn It On Electric,"
(602) 962-7299",Phoenix,AZ,electrical,4.6,474,"
turnitonelectric.com","1745 W Deer Valley Rd Ste 110, Phoenix, AZ 85027, USA",5,Closes at 4:00 PM | Closed weekends,after_hours,YES,
Brown Roofing LLC,"
(602) 626-5559",Phoenix,AZ,roofing,4.9,267,"
brownroofingaz.com","11627 N 17th Pl, Phoenix, AZ 85020, USA",5,Closes at 3:00 PM | Closed weekends,after_hours,YES,
JonLe Heating & Cooling,"
(513) 662-2282",Cincinnati,OH,HVAC,4.9,799,"
jonle.com","4117 Bridgetown Rd, Cincinnati, OH 45211, USA",5,Closes at 3:00 PM | Closed weekends,after_hours,YES,
Halpin Plumbing Inc,"
(513) 790-6985",Cincinnati,OH,plumbing,4.9,1141,"
halpinplumbing.com","5177 Fishwick Dr, Cincinnati, OH 45216, USA",5,Closes at 4:30 PM | Closed weekends,after_hours,YES,
Nieman Plumbing,"
(513) 851-5588",Cincinnati,OH,plumbing,4.8,499,"
niemanplumbing.com","2030 Stapleton Ct, Cincinnati, OH 45240, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Leitner Electric Co,"
(513) 643-2113",Cincinnati,OH,electrical,4.9,112,"
leitnerelectric.com","11260 Cornell Park Dr Suite #707, Blue Ash, OH 45242, USA",5,Closes at 4:00 PM | Closed weekends,after_hours,YES,
Frey Electric Inc,"
(513) 385-0700",Cincinnati,OH,electrical,4.3,49,"
freyelectric.com","5700 Cheviot Rd, Cincinnati, OH 45247, USA",5,Closes at 4:00 PM | Closed weekends,after_hours,YES,
Molloy Roofing Company,"
(513) 791-7400",Cincinnati,OH,roofing,4.8,276,"
molloyroofing.com","11099 Deerfield Rd, Cincinnati, OH 45242, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
"Deer Park Roofing, LLC","
(513) 224-5479",Cincinnati,OH,roofing,4.8,689,"
deerparkroofing.com","7201 Blue Ash Rd, Cincinnati, OH 45236, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
"R & T Yoder Electric, Inc - Central Columbus","
(614) 665-0445",Columbus,OH,electrical,4.9,110,"
yoderelectric.com","1581 N High St STE 109, Columbus, OH 43201, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Quality Electric,"
(614) 431-9500",Columbus,OH,electrical,4.6,177,"
qualityohio.com","6200 Huntley Rd Suite D, Columbus, OH 43229, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Ramos Roofing,"
(614) 761-7663",Columbus,OH,roofing,4.9,376,"
ramosroofingohio.com","201 Oak St, Columbus, OH 43235, USA",5,Closes at 4:00 PM | Closed weekends,after_hours,YES,
"Newman Roofing, LLC","
(614) 639-7663",Columbus,OH,roofing,5.0,1057,"
newmanroofing.com","825 Kintner Pkwy, Sunbury, OH 43074, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Muth & Company Roofing,"
(614) 882-0900",Columbus,OH,roofing,4.8,398,"
muthroofing.com","5951 Westerville Rd, Westerville, OH 43081, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
JF Baker Roofing Company,"
(614) 297-7663",Columbus,OH,roofing,5.0,82,"
jfbakerroofing.com","1496 Delashmut Ave, Columbus, OH 43212, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Empire Heating & Air Conditioning Inc,"
(404) 294-0900",Atlanta,GA,HVAC,4.9,1151,"
empirehvac.com","783 Dekalb Industrial Way, Decatur, GA 30033, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Estes Services,"
(404) 366-9620",Atlanta,GA,HVAC,4.9,4680,"
estesair.com","3981 Tradeport Blvd, Atlanta, GA 30354, USA",5,Closes at 4:00 PM | Closed weekends,after_hours,YES,
Plumbing Express,"
(404) 236-6535",Atlanta,GA,plumbing,4.9,2044,"
plumbingexpress.com","3050 Presidential Dr #202, Atlanta, GA 30340, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Yunger-Allen Electrical Contractors Systems and Solutions LLC,"
(404) 939-3184",Atlanta,GA,electrical,5.0,43,"
yunger-allenelectrical.com","2002 Summit Blvd NE STE 300, Atlanta, GA 30319, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Atlanta Roofing Specialists,"
(770) 284-6885",Atlanta,GA,roofing,4.9,359,"
atlantaroofingspecialists.com","1232 Sandtown Rd SW, Marietta, GA 30008, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Bell Roofing,"
(404) 874-7663",Atlanta,GA,roofing,4.8,478,"
bellroofingco.com","2531 Briarcliff Rd NE Suite 109, Atlanta, GA 30329, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
WyattWorks Plumbing Charlotte,"
(704) 825-5000",Charlotte,NC,plumbing,4.9,1495,"
wyattworks.com","900 Remount Rd, Charlotte, NC 28203, USA",5,Closes at 4:00 PM | Closed weekends,after_hours,YES,
Carolina Electric Pro’s,"
(704) 713-3793",Charlotte,NC,electrical,4.9,659,"
carolinaelectricpros.com","224 Foster Ave Suite A, Charlotte, NC 28203, USA",5,Closes at 4:00 PM | Closed weekends,after_hours,YES,
Charlotte Roofing Specialists,"
(704) 610-6616",Charlotte,NC,roofing,4.9,230,"
charlotteroofing.com","3605-B Latrobe Dr, Charlotte, NC 28211, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Southern Star Roofing Charlotte,"
(704) 937-7663",Charlotte,NC,roofing,4.9,353,"
southernstarroofing.com","6132 Brookshire Blvd Suite I, Charlotte, NC 28216, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Baker Roofing Company,"
(704) 587-3737",Charlotte,NC,roofing,4.7,60,"
bakerroofing.com","5432 Wyoming Ave, Charlotte, NC 28273, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Roof Medic,"
(704) 228-7788",Charlotte,NC,roofing,4.9,530,"
roofmedic.com","7207 Matthews-Mint Hill Rd, Charlotte, NC 28227, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
South Nashville Heating & Cooling,"
(615) 834-1636",Nashville,TN,HVAC,4.9,501,"
southnashvillehvac.com","501 Veritas St, Nashville, TN 37211, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
100 Percent Plumbing,"
(615) 431-1100",Nashville,TN,plumbing,5.0,246,"
100percentplumbingtn.com","3200 West End Ave #500, Nashville, TN 37203, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Hardy Electric,"
(615) 883-4003",Nashville,TN,electrical,4.9,115,"
hardyelectric.net","241 Craigmeade Dr #2406, Nashville, TN 37214, USA",5,Closes at 4:00 PM | Closed weekends,after_hours,YES,
Dodd Electric,"
(615) 269-9994",Nashville,TN,electrical,4.4,33,"
doddelectric.com","2506 White Ave, Nashville, TN 37204, USA",5,Closes at 3:00 PM | Closed weekends,after_hours,YES,
Bill Ragan Roofing Company,"
(615) 242-0333",Nashville,TN,roofing,4.9,208,"
billraganroofing.com","2969 Armory Dr Suite 300, Nashville, TN 37204, USA",5,Closes at 2:00 PM | Closed weekends,after_hours,YES,
Premium Plumbing,"
(813) 773-6486",Tampa,FL,plumbing,4.9,478,"
mypremiumplumbing.com","4706 N Thatcher Ave, Tampa, FL 33614, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
"Groves Electric, Inc.","
(813) 789-3400",Tampa,FL,electrical,5.0,165,"
groveselectricinc.com","530 Luzon Ave, Tampa, FL 33606, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Aguila Electrical Services Inc,"
(813) 515-6999",Tampa,FL,electrical,4.9,455,"
aguilaelectrical.com","5708 N 56th St, Tampa, FL 33610, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
The Weather Changers Heating and Air Conditioning,"
(303) 340-0077",Denver,CO,HVAC,5.0,1274,"
theweatherchangers.com","10525 E 40th Ave #203, Denver, CO 80239, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Allstar Electrical Services,"
(303) 399-7420",Denver,CO,electrical,4.5,144,"
allstarelectrical.com","3311 E 42nd Ave, Denver, CO 80216, USA",5,Closes at 4:00 PM | Closed weekends,after_hours,YES,
Premier Roofing Company,"
(303) 233-7663",Denver,CO,roofing,4.3,579,"
premier-roofing.com","2570 W 8th Ave, Denver, CO 80204, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Formula Roofing and Remodeling,"
(303) 600-8696",Denver,CO,roofing,4.8,471,"
formularoofing.com","4560 Columbine St, Denver, CO 80216, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Blue Heating and Cooling,"
(816) 719-1099",Kansas,MO,HVAC,5.0,698,"
blueheatingandcooling.com","9926 MO-45, Parkville, MO 64152, USA",5,Closes at 4:30 PM | Closed weekends,after_hours,YES,
Benjamin Franklin Plumbing of Kansas City,"
(816) 542-6434",Kansas,MO,plumbing,4.8,2690,"
benjaminfranklinplumbing.com","712 SW 6th St, Lee's Summit, MO 64081, USA",5,Closes at 4:30 PM | Closed weekends,after_hours,YES,
Jeremy Electrical,"
(913) 375-0070",Kansas,MO,electrical,4.9,689,"
jeremykc.com","4908 Johnson Dr, Mission, KS 66205, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Pure Light Electric LLC,"
(913) 278-6049",Kansas,MO,electrical,5.0,142,"
purelightelectric.com","1800 Central St #202, Kansas City, MO 64108, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Christian Brothers Roofing LLC,"
(816) 453-7663",Kansas,MO,roofing,5.0,1778,"
christianbrothersroofingllc.com","7514 N Oak Trafficway, Gladstone, MO 64118, USA",5,Closes at 3:00 PM | Closed weekends,after_hours,YES,
JR & Co.,"
(816) 587-6148",Kansas,MO,roofing,4.8,301,"
jrcousa.com","1201 W 31st St #1, Kansas City, MO 64108, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Garcia Roofing Kansas City,"
(816) 286-7387",Kansas,MO,roofing,5.0,199,"
garciaroofing.biz","119 W Gregory Blvd, Kansas City, MO 64113, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Century Roofing,"
(913) 422-0099",Kansas,MO,roofing,4.8,357,"
centuryroofingkc.com","6 S 59th St Ln, Kansas City, KS 66102, USA",5,Closes at 4:00 PM | Closed weekends,after_hours,YES,
Premier Roofing Company,"
(816) 254-7663",Kansas,MO,roofing,4.4,398,"
premier-roofing.com","10580 Barkley St # 450, Overland Park, KS 66212, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Easton Roofing,"
(913) 257-5426",Kansas,MO,roofing,4.8,390,"
eastonroofing.com","1707 W 39th Ave, Kansas City, KS 66103, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Chambliss Plumbing Company,"
(210) 797-7471",San,TX,plumbing,5.0,1440,"
chamblissplumbing.com","1875 E Borgfeld Dr, San Antonio, TX 78260, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
"Big City Plumbing, LLC","
(210) 499-1010",San,TX,plumbing,4.9,1148,"
bigcityplumbingsa.com","4274 GateCrest, San Antonio, TX 78217, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Absolute Power Electrical Contractors,"
(210) 647-3138",San,TX,electrical,4.9,355,"
absolute-pwr.com","15454 Tradesman Dr STE 101, San Antonio, TX 78249, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Allgood Electric,"
(210) 255-4663",San,TX,electrical,4.8,766,"
allgoodelectric.com","12106 Valliant St, San Antonio, TX 78216, USA",5,Closes at 4:30 PM | Closed weekends,after_hours,YES,
Bone Dry Roofing,"
(629) 225-7067",Nashville,TN,roofing,4.8,301,"
bonedry.com","4201 Sidco Dr, Nashville, TN 37204, USA",3,"[1*] ""Unresponsive and dishonest pricing. I had an estimate done 4 months ago for some repairs and loved o..."" (keyword: no response)",pain_signal,YES,
National Economy Plumbers,"
(901) 278-4242",Memphis,TN,plumbing,4.6,135,"
nationaleconomyplumbers.com","2114 Southern Ave, Memphis, TN 38114, USA",3,"[1*] ""I Do Not Recommend National Economy Plumbers.  Nothing economy about $1,080 in labor for replacing 2..."" (keyword: tried calling)",pain_signal,YES,
"Bluff City Electrical Contractors, LLC","
(901) 245-8765",Memphis,TN,electrical contractor,4.5,25,"
bluffcityelectrical.com","5770 US-51, Memphis, TN 38127, USA",3,"[1*] ""Very poor communication all around. Company never checked in or out when arriving to the job as dire..."" (keyword: no answer)",pain_signal,YES,
Electrical Contractor's Inc,"
(901) 396-6907",Memphis,TN,electrical contractor,4.7,3,,"3412 Winbrook Dr, Memphis, TN 38116, USA",3,No website | Only 3 reviews,pain_signal,YES,
Louisville Hvac Pro’s,"
(502) 553-8534",Louisville,KY,HVAC,4.9,129,"
louisvillehvacpros.com","10810 Holsclaw Hill Rd, Fairdale, KY 40118, USA",3,"[1*] ""Wow. I’m pretty sure this company is a scam run with AI. I spoke to the owner on Wednesday-the male ..."" (keyword: called multiple times)",pain_signal,YES,
HKC Roofing & Construction,"
(502) 212-1081",Louisville,KY,roofing,4.6,198,"
roofyourhouse.com","5061 Poplar Level Rd, Louisville, KY 40219, USA",3,"[1*] ""Would not recommend. Left paint stains on my driveway, ruined the gutter guards they should have rem..."" (keyword: no response)",pain_signal,YES,
"Allstate Electrical Contractors, Inc","
(405) 235-6543",Oklahoma,OK,electrical contractor,3.0,9,"
allstateelectricokc.com","1524 S May Ave, Oklahoma City, OK 73108, USA",3,Only 9 reviews | Rating: 3,pain_signal,YES,
J. R. Lane Plumbing Co.,"
(919) 231-1388",Raleigh,NC,plumbing,4.7,169,"
laneplumbingraleigh.com","805 Sunnybrook Rd, Raleigh, NC 27610, USA",3,"[5*] ""I genuinely cannot say enough good things about Lane Plumbing. If you’re looking for a plumber who w..."" (keyword: answering machine)",pain_signal,YES,
"Ram Plumbing, Inc.","
(520) 214-1976",Tucson,AZ,plumbing,4.8,454,"
ramplumbingaz.com","2500 N Coyote Dr Suite 112, Tucson, AZ 85745, USA",3,"[4*] ""David Cook was sent out when I found my hot water heater leaking on a Friday night. He was able to s..."" (keyword: tried calling)",pain_signal,YES,
Curtis Plumbing,"
(520) 323-7697",Tucson,AZ,plumbing,4.8,221,"
curtisplumbing.net","4281 E Tennessee St, Tucson, AZ 85714, USA",3,"[5*] ""Woke up Christmas Eve and septic tank was FULL! Called around and got no answer or response from oth..."" (keyword: no answer)",pain_signal,YES,
"Southern Arizona Roof Associates, LLC","
(520) 438-7663",Tucson,AZ,roofing,4.9,88,"
getroof.com","3429 E Kleindale Rd #101, Tucson, AZ 85716, USA",3,"[5*] ""Dan and his team at Southern Arizona Roofing Associates have exceeded my expectations with their exc..."" (keyword: tried calling)",pain_signal,YES,
Plumb Tite Plumbing & Drains,"
(513) 338-8483",Cincinnati,OH,plumbing,4.8,865,"
plumbtite.com","8442 Vine St, Cincinnati, OH 45216, USA",3,Closes at 5:00 PM,after_hours,YES,
Nixco Plumbing Inc.,"
(513) 445-6600",Cincinnati,OH,plumbing,4.8,2178,"
nixcoplumbing.com","4281 US-42, Mason, OH 45040, USA",3,Closes at 5:00 PM,after_hours,YES,
Advantage Roofing,"
(513) 467-6631",Cincinnati,OH,roofing,5.0,295,"
goroof1.com","5706 Carthage Ave, Cincinnati, OH 45212, USA",3,Closes at 5:00 PM,after_hours,YES,
Columbus Roofing Company,"
(614) 756-2335",Columbus,OH,roofing,4.9,262,"
columbusroofingco.com","5131 Post Rd #355, Dublin, OH 43017, USA",3,Closes at 5:00 PM,after_hours,YES,
Pioneer Electric Company,"
(615) 975-8010",Nashville,TN,electrical,5.0,171,"
pioneerelectriccompany.com","4216 Long Hollow Pike, Goodlettsville, TN 37072, USA",3,Closes at 5:00 PM,after_hours,YES,
Caldeco Air Conditioning & Heating,"
(813) 254-2211",Tampa,FL,HVAC,4.8,1133,"
caldeco.com","1709 N Howard Ave, Tampa, FL 33607, USA",3,Closes at 5:00 PM,after_hours,YES,
Hoffman Electric,"
(513) 742-3360",Tampa,FL,electrical,4.4,5,"
hoffmanelectricinc.com","1909 N 57th St, Tampa, FL 33619, USA",3,Closes at 5:00 PM,after_hours,YES,
"AB Electrical, Inc.","
(816) 350-0062",Kansas,MO,electrical,4.8,16,"
ab-elec.com","3340 The Paseo, Kansas City, MO 64109, USA",3,Closed weekends | Only 16 reviews,after_hours,YES,
Action Electric Co,"
(713) 392-5795",Houston,TX,electrical contractor,4.9,103,,"11526 Dunlap St, Houston, TX 77035, USA",2,No website,pain_signal,YES,
Phoenix Best Electricians,"
(602) 780-1140",Phoenix,AZ,electrical contractor,4.8,124,,"8929 N Central Ave #53C, Phoenix, AZ 85020, USA",2,No website,pain_signal,YES,
Barth Electric Co Inc,"
(317) 924-6226",Indianapolis,IN,electrical contractor,3.7,21,"
barthelectric.com","1934 N Illinois St, Indianapolis, IN 46202, USA",2,Rating: 3.7,pain_signal,YES,
Indy Electric,"
(317) 746-6752",Indianapolis,IN,electrical contractor,5.0,25,,"4320 W 59th St #1204, Indianapolis, IN 46254, USA",2,No website,pain_signal,YES,
Wiggins Brothers Electricians Co,"
(317) 751-9551",Indianapolis,IN,electrical contractor,4.7,79,,"8260 Naab Rd #4240, Indianapolis, IN 46260, USA",2,No website,pain_signal,YES,
KJ Electric Co. Inc.,"
(210) 736-6155",San,TX,electrical contractor,4.8,51,,"2630 Culebra Rd, San Antonio, TX 78228, USA",2,No website,pain_signal,YES,
Adept Electric Birmingham Co,"
(659) 207-8256",Birmingham,AL,electrical contractor,5.0,27,,"4117 2nd Ave S, Birmingham, AL 35222, USA",2,No website,pain_signal,YES,
Tucson Fast House Electric,"
(520) 523-2894",Tucson,AZ,electrical contractor,4.8,137,,"7018 E Golf Links Rd #5470, Tucson, AZ 85730, USA",2,No website,pain_signal,YES,
EZ Roof and Construction,"
(832) 979-5409",Houston,TX,roofing,4.9,545,"
ezroofhouston.com","6613 W Sam Houston Pkwy N, Houston, TX 77041, USA",2,Closed weekends,after_hours,YES,
Phoenix Electrician | OE Electric,"
(602) 715-9346",Phoenix,AZ,electrical,4.7,57,"
oeelectricllc.com","3032 W Pima St, Phoenix, AZ 85009, USA",2,Closed weekends,after_hours,YES,
Gideon Service Company,"
(480) 916-0842",Phoenix,AZ,electrical,5.0,183,"
gideonservicecompany.com","2942 N 24th St #201, Phoenix, AZ 85016, USA",2,Closed weekends,after_hours,YES,
The Local Plumber LLC,"
(614) 230-6086",Columbus,OH,plumbing,5.0,329,"
localplumbercolumbus.com","461 Industry Dr, Columbus, OH 43204, USA",2,Closed weekends,after_hours,YES,
Buckeye Electric of Upper Arlington,"
(614) 664-8800",Columbus,OH,electrical,4.6,330,"
614electrician.com","470 W Broad St UNIT 707, Columbus, OH 43215, USA",2,Closed weekends,after_hours,YES,
Able Roofing,"
(614) 444-7663",Columbus,OH,roofing,4.5,1160,"
ableroof.com","4777 Westerville Rd, Columbus, OH 43231, USA",2,Closed weekends,after_hours,YES,
Comfort Atlanta Heating & Air,"
(770) 874-4033",Atlanta,GA,HVAC,5.0,413,"
comfortatlanta.com","10945 State Bridge Rd #401, Johns Creek, GA 30022, USA",2,Closed weekends,after_hours,YES,
Peach Plumbing & Drain,"
(470) 202-4440",Atlanta,GA,plumbing,4.9,835,"
peachplumbingatlanta.com","1876 Defoor Ave NW STE 7, Atlanta, GA 30318, USA",2,Closed weekends,after_hours,YES,
McCall Enterprises,"
(770) 484-6402",Atlanta,GA,electrical,5.0,514,"
mccallent.com","260 Peachtree St NW Suite 2200, Atlanta, GA 30303, USA",2,Closed weekends,after_hours,YES,
The Electrician,"
(404) 256-0169",Atlanta,GA,electrical,5.0,448,"
theelectricianatlanta.com","20 S Battery Pl, Atlanta, GA 30342, USA",2,Closed weekends,after_hours,YES,
Robinson Electric Company,"
(404) 618-9529",Atlanta,GA,electrical,4.9,294,"
robinsonelectricco.com","2654 Wood Gate Way SW, Snellville, GA 30078, USA",2,Closed weekends,after_hours,YES,
1st Generation Electric LLC,"
(404) 789-4596",Atlanta,GA,electrical,5.0,112,"
firstgenelectric.com","3571 S Fulton Ave, Atlanta, GA 30354, USA",2,Closed weekends,after_hours,YES,
AAA City Plumbing,"
(704) 544-1909",Charlotte,NC,plumbing,4.9,1348,"
aaacityplumbing.com","227 W 4th St #312, Charlotte, NC 28202, USA",2,Closed weekends,after_hours,YES,
Carolina Roof Consultants,"
(704) 277-4582",Charlotte,NC,roofing,5.0,851,"
carolinaroofconsultants.com","1237 Tyvola Rd B, Charlotte, NC 28210, USA",2,Closed weekends,after_hours,YES,
Nashville Electric Service,"
(615) 736-6900",Nashville,TN,electrical,2.0,1004,"
nespower.com","1214 Church St #100, Nashville, TN 37246, USA",2,Closed weekends,after_hours,YES,
"Empower Electric, LLC","
(615) 889-1434",Nashville,TN,electrical,4.5,33,"
empower-electric.com","321 Homestead Rd, Nashville, TN 37207, USA",2,Closed weekends,after_hours,YES,
Stay Dry Roofing of Tampa Bay Inc.,"
(813) 232-9430",Tampa,FL,roofing,4.5,193,"
staydryfl.com","4700 N Florida Ave, Tampa, FL 33603, USA",2,Closed weekends,after_hours,YES,
Table Mountain Electric Inc,"
(720) 742-4233",Denver,CO,electrical,4.9,417,"
tablemountainelectric.com","5160 Parfet St Unit B5, Wheat Ridge, CO 80033, USA",2,Closed weekends,after_hours,YES,
"Interstate Roofing, Inc.","
(303) 763-9114",Denver,CO,roofing,4.7,955,"
interstateroof.com","1000 W 47th Ave, Denver, CO 80211, USA",2,Closed weekends,after_hours,YES,
Core Roofing + Solar,"
(720) 794-9144",Denver,CO,roofing,4.9,410,"
coreroofing.com","4049 St Paul St, Denver, CO 80216, USA",2,Closed weekends,after_hours,YES,
