Rank,Business Name,Phone,Phone_Display,City,State,Niche,Score,TZ,Type
28,Reliant Plumbing - Dallas,+12145500028,(214) 550-0028,Dallas,TX,Plumbing,74,CT,fresh
29,Blue Moon Plumbing,+14693283243,(469) 328-3243,Dallas,TX,Plumbing,73,CT,fresh
30,"Tribeca Plumbing, Inc.",+12144025454,(214) 402-5454,Dallas,TX,Plumbing,72,CT,fresh
31,"Harlen Johnson HVAC, Plumbing & Electrical",+19724026198,(972) 402-6198,Dallas,TX,HVAC,71,CT,fresh
32,"Astar Air Conditioning, Plumbing & Electric",+19722787111,(972) 278-7111,Dallas,TX,HVAC,71,CT,fresh
33,Coolinary Arts Heating & Cooling,+19729752665,(972) 975-2665,Dallas,TX,HVAC,71,CT,fresh
34,Service Experts Dallas,+19726197607,(972) 619-7607,Richardson,TX,HVAC,71,CT,fresh
35,Scottsdale Plumbing Co,+14809459583,(480) 945-9583,Scottsdale,AZ,Plumbing,81,MST,fresh
36,Total Comfort HVAC Service,+17205864411,(720) 586-4411,Denver,CO,HVAC,80,MT,fresh
37,All Weather HVAC Denver,+17205814049,(720) 581-4049,Denver,CO,HVAC,80,MT,fresh
38,AZ Home Services Group AC Repair & Plumbing Services of Scottsdale,+14809233969,(480) 923-3969,Scottsdale,AZ,Plumbing,79,MST,fresh
39,Your Phoenix HVAC Contractor,+14802109071,(480) 210-9071,Phoenix,AZ,HVAC,78,MST,fresh
40,Apple Plumbing Services,+14806648098,(480) 664-8098,Scottsdale,AZ,Plumbing,77,MST,fresh
41,360 HVAC PRO Heating and Cooling,+17209252051,(720) 925-2051,Commerce City,CO,HVAC,77,MT,fresh
42,Platinum Services Plumbing,+14802469330,(480) 246-9330,Scottsdale,AZ,Plumbing,76,MST,fresh
43,Phoenix Roofing,+16024970154,(602) 497-0154,Phoenix,AZ,Roofing,75,MST,fresh
44,Reyes Roofing LLC,+14808283040,(480) 828-3040,Phoenix,AZ,Roofing,75,MST,fresh
45,Supreme Comfort LLC,+16232942831,(623) 294-2831,Phoenix,AZ,HVAC,74,MST,fresh
46,All Season Plumbing And Air,+16233048128,(623) 304-8128,Scottsdale,AZ,Plumbing,74,MST,fresh
47,Mighty Plumbing Heating Air and Electric LLC.,+17207820679,(720) 782-0679,Denver,CO,HVAC,74,MT,fresh
48,"Custom Heating, Plumbing & Air Conditioning Services",+13033411900,(303) 341-1900,Aurora,CO,HVAC,74,MT,fresh
49,Serenity Plumbing,+14807769039,(480) 776-9039,Scottsdale,AZ,Plumbing,73,MST,fresh
50,Scott Roofing Company,+16024427663,(602) 442-7663,Phoenix,AZ,Roofing,73,MST,fresh
