First Name,Last Name,Company Name,Phone,Email,City,State,Trade Niche,Tags
Owner,Canyon Electric,Canyon Electric Company Inc.,+17023844747,,Las Vegas,NV,Electrical,"niche:electrical, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Callidus Electric,Callidus Electric,+17024034562,,Las Vegas,NV,Electrical,"niche:electrical, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Penny Electric,Penny Electric,+17022796040,,Las Vegas,NV,Electrical,"niche:electrical, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Ampere Electric,Ampere Electric,+17026130939,,Las Vegas,NV,Electrical,"niche:electrical, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Vegas Electric,Vegas Electric,+17024757117,,Las Vegas,NV,Electrical,"niche:electrical, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Electricode,Electricode,+17024631334,,Las Vegas,NV,Electrical,"niche:electrical, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Spears Electric,Spears Electric,+17023726565,,Las Vegas,NV,Electrical,"niche:electrical, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,PDQ Electric,PDQ Electric,+17022579550,,Las Vegas,NV,Electrical,"niche:electrical, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Citywide Electric,Citywide Electric,+17024632882,,Las Vegas,NV,Electrical,"niche:electrical, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,KVN Portland Roofing,KVN Portland Roofing,+15034387767,,Portland,OR,Roofing,"niche:roofing, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,IBEX Roof,IBEX Roof,+15037446468,,Portland,OR,Roofing,"niche:roofing, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,HER Roofing,HER Roofing,+15039469068,,Portland,OR,Roofing,"niche:roofing, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Tom Leach Roofing,Tom Leach Roofing,+15032387663,,Portland,OR,Roofing,"niche:roofing, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Interstate Roofing,Interstate Roofing,+15036837872,,Portland,OR,Roofing,"niche:roofing, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Superior Roofing,Superior Roofing,+15037623123,,Portland,OR,Roofing,"niche:roofing, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Giron Roofing,Giron Roofing Inc,+15035640373,,Portland,OR,Roofing,"niche:roofing, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Peak Performance Roofing,Peak Performance Roofing,+15037267786,,Portland,OR,Roofing,"niche:roofing, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Two States Roofing,Two States Roofing,+15036849663,,Portland,OR,Roofing,"niche:roofing, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Evergreen Build,Evergreen Build & Design,+15039571950,,Portland,OR,Roofing,"niche:roofing, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Big Visions Landscaping,Big Visions,+17042289599,,Charlotte,NC,Landscaping,"niche:landscaping, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,MetroGreenscape,MetroGreenscape,+17045040980,,Charlotte,NC,Landscaping,"niche:landscaping, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Crown Town Landscapes,Crown Town Landscapes,+17043003607,,Charlotte,NC,Landscaping,"niche:landscaping, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Stewart's Lawn,Stewart's Lawn and Landscaping Inc.,+17046430100,,Charlotte,NC,Landscaping,"niche:landscaping, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,PGA Lawn Care,PGA Lawn Care,+17043917766,,Charlotte,NC,Landscaping,"niche:landscaping, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Greystone Hardscapes,Greystone Hardscapes,+17046854422,,Charlotte,NC,Landscaping,"niche:landscaping, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Haven Landscape Design,Haven Landscape Design,+17042561080,,Charlotte,NC,Landscaping,"niche:landscaping, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Major Works Landscaping,Major Works,+17048308291,,Charlotte,NC,Landscaping,"niche:landscaping, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,G and R Landscaping,G and R Lawn and Landscaping,+17042063211,,Charlotte,NC,Landscaping,"niche:landscaping, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Kingscapes,Kingscapes All Your Landscape Needs,+17049008213,,Charlotte,NC,Landscaping,"niche:landscaping, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Granados Landscaping,Granados Landscaping & Tree Services,+17045176398,,Charlotte,NC,Landscaping,"niche:landscaping, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Salvador Landscape,Salvador Landscape,+19165453388,,Dallas,TX,Landscaping,"niche:landscaping, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Dalworth Restoration,Dalworth Restoration,+18172038090,,Dallas,TX,General Contractor,"niche:general_contractor, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Renowned Renovation,Renowned Renovation,+12148279484,,Dallas,TX,General Contractor,"niche:general_contractor, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Revival Construction,Revival Construction Group,+14697070766,,Dallas,TX,General Contractor,"niche:general_contractor, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Statewide Remodeling,Statewide Remodeling,+12146301503,,Dallas,TX,General Contractor,"niche:general_contractor, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Transcend Builders,Transcend Builders,+12147628811,,Dallas,TX,General Contractor,"niche:general_contractor, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Peak Performance GC,Peak Performance Contractors,+14046871800,,Atlanta,GA,General Contractor,"niche:general_contractor, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Apex Building Group,Apex Building Group,+14047700067,,Atlanta,GA,General Contractor,"niche:general_contractor, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,R.A. Woodall,R.A. Woodall Construction,+14045651903,,Atlanta,GA,General Contractor,"niche:general_contractor, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Benchmark GC,Benchmark General Contractors,+14044784410,,Atlanta,GA,General Contractor,"niche:general_contractor, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,JoCo Construction,JoCo Construction,+17572046868,,Atlanta,GA,General Contractor,"niche:general_contractor, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Solid General Contractors,Solid General Contractors,+18139040028,,Tampa,FL,General Contractor,"niche:general_contractor, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Build Tampa Bay,Build Tampa Bay,+18135551216,,Tampa,FL,General Contractor,"niche:general_contractor, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Creative Contractors,Creative Contractors Inc.,+18132490064,,Tampa,FL,General Contractor,"niche:general_contractor, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Alvarez Construction,Alvarez Construction Group,+18138610006,,Tampa,FL,General Contractor,"niche:general_contractor, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Saddleback Electric,Saddleback Electrical,+16192646288,,San Diego,CA,Electrical,"niche:electrical, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Premo Electric,Premo Electric,+16199037766,,San Diego,CA,Electrical,"niche:electrical, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Right Electrical Services,Right Electrical Services,+16198769268,,San Diego,CA,Electrical,"niche:electrical, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Express Electrical,Express Electrical Services,+16193447077,,San Diego,CA,Electrical,"niche:electrical, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Amalio Electric,Amalio Electric Inc,+16197956996,,San Diego,CA,Electrical,"niche:electrical, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Black Mountain Electric,Black Mountain Electric,+18587765820,,San Diego,CA,Electrical,"niche:electrical, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Mister Sparky Tampa,Mister Sparky Tampa Bay,+18137487500,,Tampa,FL,Electrical,"niche:electrical, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Cornerstone Roofing,Cornerstone Roofing,+17634006838,,Minneapolis,MN,Roofing,"niche:roofing, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Lindus Construction,Lindus Construction,+16513068022,,Minneapolis,MN,Roofing,"niche:roofing, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Storm Group Roofing,Storm Group Roofing,+16126070794,,Minneapolis,MN,Roofing,"niche:roofing, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Capstone Bros Contracting,Capstone Bros Contracting,+16516550756,,Minneapolis,MN,Roofing,"niche:roofing, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Gold Star Roofing,Gold Star Roofing,+19527154553,,Minneapolis,MN,Roofing,"niche:roofing, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Nailed It Roofing,Nailed It Roofing & Restoration,+14145556714,,Milwaukee,WI,Roofing,"niche:roofing, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Overhead Solutions,Overhead Solutions,+14146284427,,Milwaukee,WI,Roofing,"niche:roofing, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Innovative Landscaping,Innovative Landscaping LLC,+17027869736,,Las Vegas,NV,Landscaping,"niche:landscaping, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Chip-N-Dale's,Chip-N-Dale's Custom Landscaping,+17024528518,,Las Vegas,NV,Landscaping,"niche:landscaping, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Wet-Tec Irrigation,Wet-Tec Irrigation & Landscape,+17028973225,,Las Vegas,NV,Landscaping,"niche:landscaping, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Southwest Landscape,Southwest Landscape Construction,+17023688884,,Las Vegas,NV,Landscaping,"niche:landscaping, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Dean's Home Services,Dean's Home Services,+16122002400,,Minneapolis,MN,Plumbing,"niche:plumbing, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Hero Home Services,Hero Home Services,+16127893543,,Minneapolis,MN,Plumbing,"niche:plumbing, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Bonfe Plumbing,Bonfe Plumbing Heating Cooling Electrical Sewer,+16516030318,,Minneapolis,MN,Plumbing,"niche:plumbing, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Newborn Bros,Newborn Bros & Co.,+14126214550,,Pittsburgh,PA,Plumbing,"niche:plumbing, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Gillece Services,Gillece Services,+14127224300,,Pittsburgh,PA,Plumbing,"niche:plumbing, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Restano Heating,Restano Heating Cooling & Plumbing,+14123711515,,Pittsburgh,PA,Plumbing,"niche:plumbing, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Mazza Plumbing,Mazza Plumbing,+14128218800,,Pittsburgh,PA,Plumbing,"niche:plumbing, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Calfo Mechanical,Calfo Mechanical Contractors,+14123219645,,Pittsburgh,PA,Plumbing,"niche:plumbing, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Stahl Plumbing,Stahl Plumbing Heating & Air Conditioning,+14122733300,,Pittsburgh,PA,Plumbing,"niche:plumbing, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Probuilt Construction,Probuilt Construction LLC,+15035550142,,Portland,OR,General Contractor,"niche:general_contractor, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Metro Fence MKE,Metro Fence & Landscaping,+14143830707,,Milwaukee,WI,Landscaping,"niche:landscaping, source:lead-sheet, campaign:founding-wave1, status:new-lead"
