#,Business Name,Phone,City,State,Niche,Source,Campaign,Status
48,J&M Electrical Service,+18042765580,Richmond,VA,Electrical,Manual 64,founding-wave2,New Lead
49,Just Right Electric LLC,+16149027605,Columbus,OH,Electrical,Manual 64,founding-wave2,New Lead
50,Lauterbach Electric,+18045533900,Richmond,VA,Electrical,Manual 64,founding-wave2,New Lead
51,Quality Electric,+16144319500,Columbus,OH,Electrical,Manual 64,founding-wave2,New Lead
52,R & T Yoder Electric Inc,+16146650445,Columbus,OH,Electrical,Manual 64,founding-wave2,New Lead
53,RK Newman Electric Services,+18044371033,Richmond,VA,Electrical,Manual 64,founding-wave2,New Lead
54,Safe Electric and Plumbing,+16142674111,Columbus,OH,Electrical,Manual 64,founding-wave2,New Lead
55,A2Z Builders,+17209029152,Denver,CO,General Contractor,Manual 64,founding-wave2,New Lead
56,Denver Dream Builders,+13035980433,Denver,CO,General Contractor,Manual 64,founding-wave2,New Lead
57,Dohn Construction,+19704901855,Denver,CO,General Contractor,Manual 64,founding-wave2,New Lead
58,Faros Construction Services,+17202345946,Denver,CO,General Contractor,Manual 64,founding-wave2,New Lead
59,Kalin Construction Corp,+13033507762,Denver,CO,General Contractor,Manual 64,founding-wave2,New Lead
60,Spectrum General Contractors Inc.,+13033298003,Denver,CO,General Contractor,Manual 64,founding-wave2,New Lead
61,1st Choice Plumbing Air & Insulation,+16233221002,Phoenix,AZ,HVAC,Manual 64,founding-wave2,New Lead
62,AZ Perfect Comfort Heating & Cooling,+16028588261,Phoenix,AZ,HVAC,Manual 64,founding-wave2,New Lead
63,Benefit Air Conditioning,+16028409229,Phoenix,AZ,HVAC,Manual 64,founding-wave2,New Lead
64,Bold City Heating & Air,+19043791648,Jacksonville,FL,HVAC,Manual 64,founding-wave2,New Lead
65,Cool R Us Inc A/C & Heating,+19045920651,Jacksonville,FL,HVAC,Manual 64,founding-wave2,New Lead
66,Desert Diamond Air Cooling & Heating,+16232462377,Phoenix,AZ,HVAC,Manual 64,founding-wave2,New Lead
67,Elite AC,+19042904401,Jacksonville,FL,HVAC,Manual 64,founding-wave2,New Lead
68,Hammond Heating & Air Conditioning,+19043986488,Jacksonville,FL,HVAC,Manual 64,founding-wave2,New Lead
69,Hobaica Services,+16026339555,Phoenix,AZ,HVAC,Manual 64,founding-wave2,New Lead
70,Ideal Air Conditioning and Insulation,+14808390082,Phoenix,AZ,HVAC,Manual 64,founding-wave2,New Lead
71,J&W Heating and Air & Plumbing,+19047805787,Jacksonville,FL,HVAC,Manual 64,founding-wave2,New Lead
72,A.D. Landscape Service,+19162652745,Sacramento,CA,Landscaping,Manual 64,founding-wave2,New Lead
73,Agape Lawn Company,+19843438296,Raleigh,NC,Landscaping,Manual 64,founding-wave2,New Lead
74,Bright Home Landscapes,+19166949635,Sacramento,CA,Landscaping,Manual 64,founding-wave2,New Lead
75,Caligreen Landscaping,+19169995249,Sacramento,CA,Landscaping,Manual 64,founding-wave2,New Lead
76,Currin Outdoor Living,+19192347888,Raleigh,NC,Landscaping,Manual 64,founding-wave2,New Lead
77,DreamScapes,+19198682198,Raleigh,NC,Landscaping,Manual 64,founding-wave2,New Lead
78,Duck Landscaping Raleigh,+19194801229,Raleigh,NC,Landscaping,Manual 64,founding-wave2,New Lead
79,Loose Dirt Landscaping,+19162435120,Sacramento,CA,Landscaping,Manual 64,founding-wave2,New Lead
80,Salvador Landscape,+19165453388,Sacramento,CA,Landscaping,Manual 64,founding-wave2,New Lead
81,Walters Landscapes LLC,+19193956833,Raleigh,NC,Landscaping,Manual 64,founding-wave2,New Lead
82,100 Percent Plumbing,+16154311100,Nashville,TN,Plumbing,Manual 64,founding-wave2,New Lead
83,1st Call Plumbing & AC,+12104460200,San Antonio,TX,Plumbing,Manual 64,founding-wave2,New Lead
84,615 Plumbing,+16156252386,Nashville,TN,Plumbing,Manual 64,founding-wave2,New Lead
85,Big City Plumbing LLC,+12104991010,San Antonio,TX,Plumbing,Manual 64,founding-wave2,New Lead
86,Chambliss Plumbing Company,+12107977471,San Antonio,TX,Plumbing,Manual 64,founding-wave2,New Lead
87,Doctor Drips Plumbing,+16159700047,Nashville,TN,Plumbing,Manual 64,founding-wave2,New Lead
88,George Plumbing Co.,+12107400748,San Antonio,TX,Plumbing,Manual 64,founding-wave2,New Lead
89,Holt Plumbing Company,+16153616001,Nashville,TN,Plumbing,Manual 64,founding-wave2,New Lead
90,Jack Ward & Sons Plumbing Company,+16152272811,Nashville,TN,Plumbing,Manual 64,founding-wave2,New Lead
91,Parthenon Plumbing Heating & AC Repair,+16292765129,Nashville,TN,Plumbing,Manual 64,founding-wave2,New Lead
92,Reliant Plumbing,+12104688020,San Antonio,TX,Plumbing,Manual 64,founding-wave2,New Lead
93,Smith & Sons Plumbing,+12103380046,San Antonio,TX,Plumbing,Manual 64,founding-wave2,New Lead
94,DR Roofing and Construction,+12818152422,Houston,TX,Roofing,Manual 64,founding-wave2,New Lead
95,EZ Roof and Construction,+17136821200,Houston,TX,Roofing,Manual 64,founding-wave2,New Lead
96,Elite Roofing of Georgia,+17705259630,Marietta,GA,Roofing,Manual 64,founding-wave2,New Lead
97,Georgia Roof Advisors,+16787573477,Marietta,GA,Roofing,Manual 64,founding-wave2,New Lead
98,Houston Roofing & Construction,+18322373737,Houston,TX,Roofing,Manual 64,founding-wave2,New Lead
99,JC&C Roofing Company,+12814987663,Houston,TX,Roofing,Manual 64,founding-wave2,New Lead
100,Summit Roofing,+17705455244,Marietta,GA,Roofing,Manual 64,founding-wave2,New Lead
101,Supreme Roofing Marietta GA,+16789685061,Marietta,GA,Roofing,Manual 64,founding-wave2,New Lead
102,TX Roofing & Services,+17867979134,Houston,TX,Roofing,Manual 64,founding-wave2,New Lead
103,Amalio Electric Inc,+16197956996,San Diego,CA,Electrical,New 100,founding-wave1,New Lead
104,Ampere Electric,+17026130939,Las Vegas,NV,Electrical,New 100,founding-wave1,New Lead
105,Black Mountain Electric,+18587765820,San Diego,CA,Electrical,New 100,founding-wave1,New Lead
106,Callidus Electric,+17024034562,Las Vegas,NV,Electrical,New 100,founding-wave1,New Lead
107,Canyon Electric Company Inc.,+17023844747,Las Vegas,NV,Electrical,New 100,founding-wave1,New Lead
108,Citywide Electric,+17024632882,Las Vegas,NV,Electrical,New 100,founding-wave1,New Lead
109,Electricode,+17024631334,Las Vegas,NV,Electrical,New 100,founding-wave1,New Lead
110,Express Electrical Services,+16193447077,San Diego,CA,Electrical,New 100,founding-wave1,New Lead
111,Mister Sparky Tampa Bay,+18137487500,Tampa,FL,Electrical,New 100,founding-wave1,New Lead
112,PDQ Electric,+17022579550,Las Vegas,NV,Electrical,New 100,founding-wave1,New Lead
113,Penny Electric,+17022796040,Las Vegas,NV,Electrical,New 100,founding-wave1,New Lead
114,Premo Electric,+16199037766,San Diego,CA,Electrical,New 100,founding-wave1,New Lead
115,Right Electrical Services,+16198769268,San Diego,CA,Electrical,New 100,founding-wave1,New Lead
116,Saddleback Electrical,+16192646288,San Diego,CA,Electrical,New 100,founding-wave1,New Lead
117,Spears Electric,+17023726565,Las Vegas,NV,Electrical,New 100,founding-wave1,New Lead
118,Vegas Electric,+17024757117,Las Vegas,NV,Electrical,New 100,founding-wave1,New Lead
119,Alvarez Construction Group,+18138610006,Tampa,FL,General Contractor,New 100,founding-wave1,New Lead
120,Apex Building Group,+14047700067,Atlanta,GA,General Contractor,New 100,founding-wave1,New Lead
121,Benchmark General Contractors,+14044784410,Atlanta,GA,General Contractor,New 100,founding-wave1,New Lead
122,Creative Contractors Inc.,+18132490064,Tampa,FL,General Contractor,New 100,founding-wave1,New Lead
123,Dalworth Restoration,+18172038090,Dallas,TX,General Contractor,New 100,founding-wave1,New Lead
124,Peak Performance Contractors,+14046871800,Atlanta,GA,General Contractor,New 100,founding-wave1,New Lead
125,R.A. Woodall Construction,+14045651903,Atlanta,GA,General Contractor,New 100,founding-wave1,New Lead
126,Renowned Renovation,+12148279484,Dallas,TX,General Contractor,New 100,founding-wave1,New Lead
127,Revival Construction Group,+14697070766,Dallas,TX,General Contractor,New 100,founding-wave1,New Lead
128,Solid General Contractors,+18139040028,Tampa,FL,General Contractor,New 100,founding-wave1,New Lead
129,Statewide Remodeling,+12146301503,Dallas,TX,General Contractor,New 100,founding-wave1,New Lead
130,Transcend Builders,+12147628811,Dallas,TX,General Contractor,New 100,founding-wave1,New Lead
131,AmeriTech Air & Heat,+14075328000,Orlando,FL,HVAC,New 100,founding-wave1,New Lead
132,Blue Ox Heating & Air,+16513001636,Minneapolis,MN,HVAC,New 100,founding-wave1,New Lead
133,Boehm Heating & Air Conditioning,+16516441410,Minneapolis,MN,HVAC,New 100,founding-wave1,New Lead
134,Ferran Air Conditioning Electrical & Plumbing,+14074223551,Orlando,FL,HVAC,New 100,founding-wave1,New Lead
135,Mechanical Air LLC,+14079601591,Orlando,FL,HVAC,New 100,founding-wave1,New Lead
136,Mechanical One of Orlando,+14075372795,Orlando,FL,HVAC,New 100,founding-wave1,New Lead
137,O'Boys Plumbing Furnace & AC Repair,+17632005622,Minneapolis,MN,HVAC,New 100,founding-wave1,New Lead
138,Pronto Heating & Air Conditioning,+16124001480,Minneapolis,MN,HVAC,New 100,founding-wave1,New Lead
139,Ray N. Welter Heating Company,+16127222432,Minneapolis,MN,HVAC,New 100,founding-wave1,New Lead
140,Residential Heating and Air Conditioning,+16127241899,Minneapolis,MN,HVAC,New 100,founding-wave1,New Lead
141,Rolando's HVAC,+18133736804,Orlando,FL,HVAC,New 100,founding-wave1,New Lead
142,Standard Heating & Air Conditioning Inc.,+16128242656,Minneapolis,MN,HVAC,New 100,founding-wave1,New Lead
143,Big Visions,+17042289599,Charlotte,NC,Landscaping,New 100,founding-wave1,New Lead
144,Chip-N-Dale's Custom Landscaping,+17026559745,Las Vegas,NV,Landscaping,New 100,founding-wave1,New Lead
145,Crown Town Landscapes,+17043003607,Charlotte,NC,Landscaping,New 100,founding-wave1,New Lead
146,G and R Lawn and Landscaping,+17042063211,Charlotte,NC,Landscaping,New 100,founding-wave1,New Lead
147,Granados Landscaping & Tree Services,+17045176398,Charlotte,NC,Landscaping,New 100,founding-wave1,New Lead
148,Greystone Hardscapes,+17046854422,Charlotte,NC,Landscaping,New 100,founding-wave1,New Lead
149,Haven Landscape Design,+17042561080,Charlotte,NC,Landscaping,New 100,founding-wave1,New Lead
150,Kingscapes All Your Landscape Needs,+17049008213,Charlotte,NC,Landscaping,New 100,founding-wave1,New Lead
151,Major Works,+17048308291,Charlotte,NC,Landscaping,New 100,founding-wave1,New Lead
152,MetroGreenscape,+17045040980,Charlotte,NC,Landscaping,New 100,founding-wave1,New Lead
153,PGA Lawn Care,+17043917766,Charlotte,NC,Landscaping,New 100,founding-wave1,New Lead
154,Stewart's Lawn and Landscaping Inc.,+17046430100,Charlotte,NC,Landscaping,New 100,founding-wave1,New Lead
155,Wet-Tec Irrigation & Landscape,+17022523151,Las Vegas,NV,Landscaping,New 100,founding-wave1,New Lead
156,All Hours Plumbing Heating & Cooling,+18014778471,Salt Lake City,UT,Plumbing,New 100,founding-wave1,New Lead
157,Bonfe Plumbing Heating Cooling Electrical Sewer,+16516030318,Minneapolis,MN,Plumbing,New 100,founding-wave1,New Lead
158,Brighton Plumbing,+18019236500,Salt Lake City,UT,Plumbing,New 100,founding-wave1,New Lead
159,Calfo Mechanical Contractors,+14123219645,Pittsburgh,PA,Plumbing,New 100,founding-wave1,New Lead
160,Dean's Home Services,+17632901900,Minneapolis,MN,Plumbing,New 100,founding-wave1,New Lead
161,Gillece Services,+14127224300,Pittsburgh,PA,Plumbing,New 100,founding-wave1,New Lead
162,Hero Home Services,+16124397285,Minneapolis,MN,Plumbing,New 100,founding-wave1,New Lead
163,Just Right Plumbing Heating & Cooling,+18013021154,Salt Lake City,UT,Plumbing,New 100,founding-wave1,New Lead
164,Manwill Plumbing & Heating,+13855413399,Salt Lake City,UT,Plumbing,New 100,founding-wave1,New Lead
165,Millcreek Plumbing Inc.,+18012773342,Salt Lake City,UT,Plumbing,New 100,founding-wave1,New Lead
166,Pando Plumbing,+18013684836,Salt Lake City,UT,Plumbing,New 100,founding-wave1,New Lead
167,Restano Heating Cooling & Plumbing,+14127933190,Pittsburgh,PA,Plumbing,New 100,founding-wave1,New Lead
168,Salt City Plumbing Heating & Air,+18016409785,Salt Lake City,UT,Plumbing,New 100,founding-wave1,New Lead
169,Scott Hale Plumbing Drains Heating & Air,+18012641060,Salt Lake City,UT,Plumbing,New 100,founding-wave1,New Lead
170,Stahl Plumbing Heating & Air Conditioning,+14122733300,Pittsburgh,PA,Plumbing,New 100,founding-wave1,New Lead
171,Capstone Bros Contracting,+16516550756,Minneapolis,MN,Roofing,New 100,founding-wave1,New Lead
172,Cornerstone Roofing,+17634006838,Minneapolis,MN,Roofing,New 100,founding-wave1,New Lead
173,Evergreen Build & Design,+15039571950,Portland,OR,Roofing,New 100,founding-wave1,New Lead
174,Giron Roofing Inc,+15035640373,Portland,OR,Roofing,New 100,founding-wave1,New Lead
175,Gold Star Roofing,+19527154553,Minneapolis,MN,Roofing,New 100,founding-wave1,New Lead
176,HER Roofing,+15039469068,Portland,OR,Roofing,New 100,founding-wave1,New Lead
177,IBEX Roof,+15037446468,Portland,OR,Roofing,New 100,founding-wave1,New Lead
178,Interstate Roofing,+15036837872,Portland,OR,Roofing,New 100,founding-wave1,New Lead
179,KVN Portland Roofing,+15034387767,Portland,OR,Roofing,New 100,founding-wave1,New Lead
180,Lindus Construction,+16513068022,Minneapolis,MN,Roofing,New 100,founding-wave1,New Lead
181,Nailed It Roofing & Restoration,+14145556714,Milwaukee,WI,Roofing,New 100,founding-wave1,New Lead
182,Overhead Solutions,+14146284427,Milwaukee,WI,Roofing,New 100,founding-wave1,New Lead
183,Peak Performance Roofing,+15037267786,Portland,OR,Roofing,New 100,founding-wave1,New Lead
184,Storm Group Roofing,+16126070794,Minneapolis,MN,Roofing,New 100,founding-wave1,New Lead
185,Superior Roofing,+15037623123,Portland,OR,Roofing,New 100,founding-wave1,New Lead
186,Tom Leach Roofing,+15032387663,Portland,OR,Roofing,New 100,founding-wave1,New Lead
187,Two States Roofing,+15036849663,Portland,OR,Roofing,New 100,founding-wave1,New Lead
